# Plutus Core cost model benchmark results
# Started at 2025-12-09 14:10:12.082837757 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
UnionValue/48367/649611,0.16560480895572577,0.1632556190617623,0.16932236050100374,4.041476607116135e-3,9.320600320737336e-4,5.155778523271561e-3
UnionValue/18039/33566,5.29652894247728e-3,5.254952836127281e-3,5.408477940367786e-3,1.8988230690871851e-4,7.401475686288778e-5,3.9093242069720643e-4
UnionValue/173124/431846,0.1440665860811635,0.14228364607662938,0.14732317265826372,3.2740509548905223e-3,1.756029571570518e-3,4.573317619054531e-3
UnionValue/24446/829789,0.19158563063699854,0.18863734716627126,0.19857470240676775,5.876778027265302e-3,1.964076839372152e-3,8.414737660826573e-3
UnionValue/188078/544327,0.17768505619122918,0.17592807712974218,0.18174667346218384,3.7351860996762574e-3,1.0943891137863001e-3,5.5524293714034655e-3
UnionValue/925247/973363,0.3907690971051731,0.38580884766027645,0.3989727377775125,7.8019168793413045e-3,1.56481138458584e-4,9.55098887024956e-3
UnionValue/911080/975711,0.38948386908547644,0.3835650834662374,0.39468386649969034,7.236990395592775e-3,2.9874728061258793e-3,8.55924316990011e-3
UnionValue/137290/235437,7.779727402707702e-2,7.702263744994223e-2,7.960609893562154e-2,1.9092402426983154e-3,8.328028439762596e-4,3.1687434173472296e-3
UnionValue/11264/19461,2.7152551785877446e-3,2.7100224394783156e-3,2.7214297477062715e-3,1.8413244206715693e-5,1.46270347781264e-5,2.8440429729469232e-5
UnionValue/568699/855605,0.32550063234676296,0.32192889066257824,0.3290723740309477,4.762290550138911e-3,2.606428356071141e-3,6.589407688299596e-3
UnionValue/274823/354689,0.12817482236946706,0.12709230025696644,0.1306646939523662,2.260774989576374e-3,1.1679276199497808e-3,3.359796658812393e-3
UnionValue/42651/856453,0.2047115646438518,0.20074965729986108,0.2150930101621068,8.784441570408592e-3,8.849808657278701e-4,1.2278881987504955e-2
UnionValue/345582/587657,0.21574236227962604,0.21327840181378024,0.2220183738649616,5.129436704200324e-3,1.1111955245386752e-3,7.32745904204003e-3
UnionValue/19995/519135,0.1194825178340363,0.11758738421243227,0.1238530594734281,4.266724130956942e-3,1.8333054850069273e-3,6.4956277858183266e-3
UnionValue/623051/873108,0.33950015059963334,0.33287403275608085,0.3500810441619251,1.006379149254223e-2,1.4366486523109592e-3,1.2936087819067318e-2
UnionValue/220948/617699,0.2037110344041139,0.20124193858613984,0.20834433937367672,4.261925731523221e-3,1.9169989403549585e-3,5.989149609033495e-3
UnionValue/469387/988529,0.3537492744217161,0.3479566561873071,0.36082376932608895,6.812303959331934e-3,2.27376475231722e-3,9.02993585127595e-3
UnionValue/444870/538491,0.2057245856855944,0.2037587476674364,0.21016138718631636,3.99150407681116e-3,1.6239189117438005e-3,5.726021797305606e-3
UnionValue/16043/513143,0.11769824656124304,0.11583065791783156,0.1224502355689765,4.2295473109100696e-3,1.194574970680714e-3,6.520017485613983e-3
UnionValue/193109/652120,0.21005849760775971,0.20668081301523167,0.21587665002637854,5.738544995931746e-3,2.876544517631569e-3,7.943886311013284e-3
UnionValue/136522/216637,7.219623432152662e-2,7.152599653081106e-2,7.387860284881864e-2,1.7920416994188085e-3,7.83332888574432e-4,3.0672376819720192e-3
UnionValue/441061/987097,0.3459805908302466,0.3399673873985497,0.35491814112174325,8.515074482868654e-3,2.341312104059995e-3,1.1183384132856897e-2
UnionValue/24177/161060,3.689904143730627e-2,3.6484956432837494e-2,3.808822491040803e-2,1.301130964602932e-3,4.7415654393258505e-4,2.253191105982207e-3
