script,instance,pre_size,post_size,ann_size,checkpoints,certified,certify_time_s,inline_time_s,inline_forced_time_s
n-queens.uplc,1,3280,2925,9620,1,True,0.004268,0.021861,0.022512
n-queens.uplc,2,2720,2361,2740,0,True,0.000989,0.011801,0.012033
n-queens.uplc,3,2244,2391,2645,0,True,0.000829,0.011268,0.011444
n-queens.uplc,4,2266,1948,2204,0,True,0.000715,0.010496,0.010707
n-queens.uplc,5,1820,1770,1799,0,True,0.000388,0.008515,0.008688
n-queens.uplc,6,1767,1764,1766,0,True,0.000321,0.008131,0.008237
n-queens.uplc,7,1764,1764,1764,0,True,0.000316,0.008117,0.008259
n-queens.uplc,8,1764,1764,1764,0,True,0.000317,0.008160,0.008271
n-queens.uplc,9,1764,1764,1764,0,True,0.000318,0.008148,0.008291
n-queens.uplc,10,1764,1764,1764,0,True,0.000321,0.008217,0.008313
n-queens.uplc,11,1764,1764,1764,0,True,0.000322,0.008088,0.008168
n-queens.uplc,12,1764,1764,1764,0,True,0.000311,0.007986,0.008007
n-queens.uplc,13,1773,1774,1782,0,True,0.000346,0.007623,0.007723
n-queens.uplc,14,1770,1756,1761,0,True,0.000369,0.007480,0.007560
n-queens.uplc,15,1756,1756,1756,0,True,0.000327,0.007384,0.007490
n-queens.uplc,16,1756,1756,1756,0,True,0.000325,0.007363,0.007470
coop.uplc,1,5328,5078,5424,0,True,0.018162,0.021818,0.022076
coop.uplc,2,4761,3979,12999,1,True,0.008720,0.050470,0.050927
coop.uplc,3,3822,3839,4178,0,True,0.002035,0.024269,0.024549
coop.uplc,4,3725,3531,3758,0,True,0.002869,0.022566,0.022725
coop.uplc,5,3406,3311,3372,0,True,0.001434,0.019908,0.020078
coop.uplc,6,3306,3300,3304,0,True,0.000949,0.019083,0.019367
coop.uplc,7,3300,3300,3300,0,True,0.000922,0.019046,0.019382
coop.uplc,8,3300,3300,3300,0,True,0.000927,0.019156,0.019296
coop.uplc,9,3300,3300,3300,0,True,0.000929,0.019065,0.019183
coop.uplc,10,3300,3300,3300,0,True,0.000929,0.019071,0.019271
coop.uplc,11,3300,3300,3300,0,True,0.000925,0.019121,0.019292
coop.uplc,12,3300,3300,3300,0,True,0.000928,0.019023,0.019352
coop.uplc,13,3314,3278,3302,0,True,0.001117,0.017103,0.017182
coop.uplc,14,3276,3264,3284,0,True,0.000989,0.016682,0.016823
coop.uplc,15,3264,3264,3264,0,True,0.000966,0.016537,0.016784
coop.uplc,16,3264,3264,3264,0,True,0.000968,0.016557,0.016775
linear-vesting.uplc,1,2892,2752,8613,1,True,0.002872,0.022397,0.022955
linear-vesting.uplc,2,2616,2547,7768,1,True,0.001821,0.020406,0.020764
linear-vesting.uplc,3,2501,2500,2574,0,True,0.000641,0.010302,0.010420
linear-vesting.uplc,4,2484,2452,2476,0,True,0.001111,0.011226,0.011393
linear-vesting.uplc,5,2444,2446,2452,0,True,0.000554,0.009723,0.009832
linear-vesting.uplc,6,2446,2451,2455,0,True,0.000551,0.009658,0.009793
linear-vesting.uplc,7,2451,2456,2460,0,True,0.000555,0.009635,0.009750
linear-vesting.uplc,8,2456,2461,2465,0,True,0.000560,0.009662,0.009771
linear-vesting.uplc,9,2461,2466,2470,0,True,0.000568,0.009666,0.009772
linear-vesting.uplc,10,2466,2471,2475,0,True,0.000575,0.009652,0.009796
linear-vesting.uplc,11,2471,2476,2480,0,True,0.000583,0.009648,0.009754
linear-vesting.uplc,12,2476,2481,2485,0,True,0.000594,0.009645,0.009814
linear-vesting.uplc,13,2518,2519,2573,0,True,0.000750,0.008907,0.009022
linear-vesting.uplc,14,2495,2459,2486,0,True,0.000643,0.008739,0.008876
linear-vesting.uplc,15,2459,2464,2468,0,True,0.000586,0.008689,0.008837
linear-vesting.uplc,16,2464,2469,2473,0,True,0.000598,0.008715,0.008850
cardano-loans.uplc,1,13597,13642,14598,0,True,0.113553,0.226210,0.225922
cardano-loans.uplc,2,11965,10909,12246,0,True,0.020492,0.205644,0.205751
cardano-loans.uplc,3,10338,10129,10817,0,True,0.013250,0.196168,0.196642
cardano-loans.uplc,4,9949,9910,10360,0,True,0.011380,0.198383,0.198299
cardano-loans.uplc,5,9623,9315,9518,0,True,0.011552,0.207039,0.207391
cardano-loans.uplc,6,9313,9307,9311,0,True,0.006411,0.189051,0.189194
cardano-loans.uplc,7,9307,9307,9307,0,True,0.006406,0.188611,0.188559
cardano-loans.uplc,8,9307,9307,9307,0,True,0.006381,0.188362,0.189477
cardano-loans.uplc,9,9307,9307,9307,0,True,0.006423,0.189010,0.189066
cardano-loans.uplc,10,9307,9307,9307,0,True,0.006429,0.188511,0.189183
cardano-loans.uplc,11,9307,9307,9307,0,True,0.006402,0.188053,0.188723
cardano-loans.uplc,12,9307,9307,9307,0,True,0.006419,0.187792,0.191340
cardano-loans.uplc,13,9304,9271,27858,1,True,0.012633,0.366200,0.373803
cardano-loans.uplc,14,9266,9254,9257,0,True,0.006543,0.185895,0.185471
cardano-loans.uplc,15,9254,9254,9254,0,True,0.006129,0.186003,0.186398
cardano-loans.uplc,16,9254,9254,9254,0,True,0.006162,0.185829,0.185900
marlowe-semantics.uplc,1,14130,13448,14122,0,True,0.110240,0.054493,0.054733
marlowe-semantics.uplc,2,13127,12414,13213,0,True,0.014045,0.058371,0.058636
marlowe-semantics.uplc,3,12128,11872,60284,2,True,0.026840,0.170161,0.170152
marlowe-semantics.uplc,4,11700,11840,12019,0,True,0.010051,0.053565,0.053897
marlowe-semantics.uplc,5,11830,11389,11679,0,True,0.009507,0.051744,0.051900
marlowe-semantics.uplc,6,11389,11365,11381,0,True,0.006277,0.050700,0.050830
marlowe-semantics.uplc,7,11365,11365,11365,0,True,0.006256,0.050555,0.051109
