script,pre_size,post_size,ann_size,inline_instances,inline_time_s,certify_time_s,ann_overhead,ann_overhead_geomean,ann_overhead_min,ann_overhead_max,all_certified
n-queens.uplc,31736,30785,38413,16,0.150640,0.010781,1.0168,1.0152,1.0027,1.0298,True
coop.uplc,57266,55908,65949,16,0.339476,0.043770,1.0106,1.0107,1.0046,1.0177,True
linear-vesting.uplc,40100,39870,51173,16,0.176669,0.013563,1.0155,1.0146,1.0110,1.0249,True
cardano-loans.uplc,157705,156087,178315,16,3.276760,0.246566,1.0044,1.0035,0.9977,1.0208,True
marlowe-semantics.uplc,188113,186080,236503,16,0.946914,0.241798,1.0061,1.0071,0.9961,1.0211,True
marlowe-semantics-data.uplc,194222,192361,244055,16,1.165009,0.237187,1.0047,1.0010,0.9654,1.0308,True
marlowe-rolepayout.uplc,42488,41812,42719,16,0.123796,0.028078,1.0120,1.0133,0.9953,1.0350,True
marlowe-rolepayout-data.uplc,32209,31855,32317,16,0.153325,0.011944,1.0096,1.0103,1.0019,1.0289,True
guardrail-sorted.uplc,37459,34503,49220,16,0.178800,0.035725,1.0168,1.0238,1.0089,1.0343,True
guardrail-unsorted.uplc,37617,34658,45267,16,0.171072,0.032271,1.0133,1.0203,1.0033,1.0408,True
guardrail-sorted-data.uplc,38929,35943,51058,16,0.181094,0.035655,1.0147,1.0264,0.9966,1.0490,True
guardrail-unsorted-data.uplc,39087,36098,46923,16,0.174236,0.032381,1.0148,1.0200,0.9937,1.0504,True
