# Plutus Core cost model benchmark results
# Started at 2025-12-10 16:12:13.735692385 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
UnionValue/35504/35504,1.3204264985915018e-3,1.3188185658437263e-3,1.3226843058839935e-3,6.385878532502861e-6,4.277351886743133e-6,9.063654086474717e-6
UnionValue/9473/9473,3.5020368857979214e-4,3.49465319860123e-4,3.5170161431784806e-4,3.3847534145422688e-6,2.003972992735998e-6,5.917918372170448e-6
UnionValue/5569/5569,2.061327680330072e-4,2.057180387106869e-4,2.0693218576396633e-4,1.9205554643364653e-6,1.1537492897993512e-6,2.958474857514168e-6
UnionValue/2127/2127,7.822347075893152e-5,7.800962925149023e-5,7.86131107360185e-5,9.339487216789874e-7,5.077106768532527e-7,1.6175267980963648e-6
UnionValue/23763/23763,8.927742776928941e-4,8.856202602378627e-4,9.108786313002319e-4,3.405199814055447e-5,1.0616051173001466e-5,5.868999281985692e-5
UnionValue/30019/30019,1.1218876513611384e-3,1.1197983613029634e-3,1.1276889362360418e-3,1.0301998669953347e-5,5.308929222866757e-6,1.9052986590208912e-5
UnionValue/22308/22308,8.28903625962648e-4,8.276447838588587e-4,8.314787113549436e-4,5.927131317835964e-6,2.6661678486948608e-6,1.0345080299719976e-5
UnionValue/22648/22648,8.439102089278139e-4,8.417466416799193e-4,8.489933288968615e-4,1.0487111265686253e-5,3.313293273746899e-6,1.9274652194141777e-5
UnionValue/29374/29374,1.096331498273583e-3,1.0952499330227244e-3,1.0972236932912116e-3,3.5711863684308318e-6,3.0725944987155664e-6,4.310339554764269e-6
UnionValue/6884/6884,2.532723658326049e-4,2.5296916965281775e-4,2.539795735099486e-4,1.4946021001773152e-6,7.338596041527319e-7,2.842128846330535e-6
UnionValue/26510/26510,9.906737758097438e-4,9.892425417948642e-4,9.95219715524617e-4,7.628950159959594e-6,3.6252429074381968e-6,1.5380216393057283e-5
