Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
AddInteger/ExMemory 0/ExMemory 0,1.3657177299161167e-6,1.3529779360888152e-6,1.3824359405359949e-6,4.9116677945871146e-8,3.124980690196704e-8,6.881253853973534e-8
AddInteger/ExMemory 0/ExMemory 0,1.701721387382909e-6,1.6350056210829431e-6,1.777505057921282e-6,2.505719696011228e-7,2.173855718057743e-7,2.99363662850773e-7
AddInteger/ExMemory 0/ExMemory 0,1.4774294088596933e-6,1.4340036728273233e-6,1.5229741607487618e-6,1.6607567395792956e-7,1.3676059210641293e-7,2.0085686790805376e-7
AddInteger/ExMemory 0/ExMemory 0,1.6427917334449834e-6,1.5767481240822987e-6,1.7150924049478285e-6,2.1008273948723378e-7,1.6033594812874836e-7,2.7261153537153026e-7
AddInteger/ExMemory 0/ExMemory 0,1.7605121231525711e-6,1.676091857185672e-6,1.8279570968621638e-6,2.5012047308073144e-7,2.1269429817411734e-7,3.208516875424666e-7
AddInteger/ExMemory 0/ExMemory 1,1.827924984437182e-6,1.7813157332142538e-6,1.9144118451815136e-6,2.1265693096003848e-7,1.7629002115599758e-7,2.721021562263001e-7
AddInteger/ExMemory 0/ExMemory 3,1.7364318941221981e-6,1.6913479103394063e-6,1.8108812043828334e-6,2.099273527795259e-7,1.6875404349517139e-7,2.8554685619205243e-7
AddInteger/ExMemory 0/ExMemory 6,1.824305535508827e-6,1.7575738446447684e-6,1.8797154888735409e-6,2.1351597527028893e-7,1.918753671952278e-7,2.37918718686944e-7
AddInteger/ExMemory 0/ExMemory 13,1.727251066543271e-6,1.643222953311227e-6,1.8050534486770857e-6,2.616850146531897e-7,2.024004583893966e-7,3.0817558521907297e-7
AddInteger/ExMemory 0/ExMemory 26,1.5428873277089407e-6,1.477965422816589e-6,1.5965701830900468e-6,1.9179925472474604e-7,1.583316203146436e-7,2.5036094134938383e-7
AddInteger/ExMemory 0/ExMemory 264,1.8226490151744949e-6,1.7542046375451416e-6,1.908267508867257e-6,2.3891878440532036e-7,1.893606818641153e-7,3.412652845723984e-7
AddInteger/ExMemory 0/ExMemory 2641,3.8337324929429035e-6,3.7471348656888807e-6,3.949639334375086e-6,3.5887963787671875e-7,2.7739157200805206e-7,4.5323247769174563e-7
AddInteger/ExMemory 0/ExMemory 26416,2.363788045204578e-5,2.2277824105570085e-5,2.499846545562418e-5,4.162691516932264e-6,3.4416738730187995e-6,4.709766304079085e-6
AddInteger/ExMemory 0/ExMemory 264160,1.9191199023343918e-4,1.8479091782337614e-4,1.9871819573008803e-4,2.6519929834371562e-5,2.093302016320317e-5,3.305568919041162e-5
AddInteger/ExMemory 0/ExMemory 2641604,1.640645184997129e-3,1.6357867745896454e-3,1.65013901497296e-3,2.1594158350314927e-5,1.506236601656334e-5,3.314618392038992e-5
AddInteger/ExMemory 0/ExMemory 0,1.3901989692418955e-6,1.3697436336777945e-6,1.4242879766421286e-6,7.901891848050903e-8,6.260486246539121e-8,9.228754025576356e-8
AddInteger/ExMemory 0/ExMemory 0,1.7073486631418149e-6,1.6142987394099666e-6,1.809589375175554e-6,2.9526152961725525e-7,2.5966556757846194e-7,3.4195703635268575e-7
AddInteger/ExMemory 0/ExMemory 0,1.6161114694761372e-6,1.571625812491628e-6,1.6843651558385836e-6,1.8806108956903918e-7,1.401136714274577e-7,2.4072149515096665e-7
