Validator	Script	TxId	Measured CPU	Measured Memory	Reference CPU	Reference Memory	Message
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	44a9e339fa25948b48637fe7e10dcfc6d1256319a7b5ce4202cb54dfef8e37e7	1201591518	8085800	977851748	3299758	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	7cbc5644b745f4ea635aca42cce5e4a4b9d2e61afdb3ac18128e1688c07071ba	1722392268	8664493	1357121797	4997806	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	5abae75af26f45658beccbe48f7c88e74efdfc0b8409ba1e98f95fa5b6caf999	905329508	4827359	953989615	3645926	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	675d63836cad11b547d1b4cddd498f04c919d4342612accf40913f9ae9419fac	1830913315	9378018	2060180444	8005746	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	acce04815e8fd51be93322888250060da173eccf3df3a605bd6bc6a456cde871	2993129169	22797605	2135499526	6456816	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	004025fd712d6c325ffa12c16d157064192992faf62e0b991d7310a2f91666b8	4553953877	89091181182	3364666270	11294703	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	d1c03759810747b7cab38c4296593b38567e11195d161b5bb0a2b58f89b2c65a	1828440232	9382626	2061027980	8018252	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	322acde099bc34a929182d5b894214fc87ec88446e2d10625119a9d17fa3ec3d	822985079	5024512	703359884	2489792	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	21953bf8798b28df60cb459db24843fb46782b19ba72dc4951941fb4c20d2263	1444143587	8452515	1166533554	4133494	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	57728d8b19b0e06412786f3dfed9e1894cd0ad1d2bc2bd497ec0ecb68f989d2b	849933549	5143248	734389840	2598566	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	70f65b21b77ddb451f3df9d9fb403ced3d10e1e953867cc4900cc25e5b9dec47	1863546806	89071768829	1543382775	5666255	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	4d7adf91bfc93cebe95a7e054ec17cfbb912b32bd8aecb48a228b50e02b055c8	1336882232	7221010	1346431864	5066224	
