# Plutus Core cost model benchmark results
# Started at 2025-12-09 17:40:49.767160059 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
UnionValue/11655/46088,7.493315167506334e-3,6.9536783231417725e-3,8.911692716960802e-3,2.320840565619677e-3,1.0997570033212725e-3,4.508096335145092e-3
UnionValue/570/956,5.030435901774445e-5,5.024479250702453e-5,5.045930676864739e-5,3.080602688105631e-7,1.2427637422987611e-7,6.077172379172063e-7
UnionValue/20244/41258,7.523729197495907e-3,7.044895332325692e-3,8.439277442960963e-3,1.779778806131659e-3,8.940416931022147e-4,3.1477746489504835e-3
UnionValue/4784/34014,3.5090991692177166e-3,3.3414911845316294e-3,3.899984471050651e-3,8.011845852059195e-4,3.6694888597752536e-4,1.4541931322776583e-3
UnionValue/6309/6662,6.582963241787278e-4,6.566933543269858e-4,6.614173962194042e-4,7.474105259129551e-6,4.1536178214977865e-6,1.4290634356326703e-5
UnionValue/17005/48382,8.647075550194238e-3,8.110459666030741e-3,9.551345631660399e-3,1.9468061464969256e-3,9.936096015601466e-4,2.9939628652583265e-3
UnionValue/11914/49785,7.833036588790145e-3,7.361553071182699e-3,8.812795152480247e-3,1.8202452897722785e-3,1.0442303874513546e-3,2.7778944927583133e-3
UnionValue/28171/46461,9.665118863942985e-3,9.13777699260439e-3,1.0691466964983298e-2,1.9764207574683662e-3,1.107692286126387e-3,2.984519996619931e-3
UnionValue/2165/49140,5.271282374859276e-3,4.91167036763213e-3,5.922715787077692e-3,1.4448421256763148e-3,8.194317332389924e-4,2.5239930547553122e-3
UnionValue/8130/48306,6.803137518148125e-3,6.357440798921199e-3,7.673640983710822e-3,1.6272661108185566e-3,9.804798019377428e-4,2.4733495748821962e-3
UnionValue/12174/33227,4.497816033090277e-3,4.308127775669659e-3,4.932282547719791e-3,8.586660809429036e-4,4.845572938287556e-4,1.476072682573695e-3
UnionValue/17526/22456,3.628516041258958e-3,3.4467382142953514e-3,4.137018331716471e-3,8.555366474598448e-4,4.370021892772777e-4,1.673313289474459e-3
UnionValue/15070/45119,7.31754891155548e-3,6.965989794282702e-3,8.178601623129654e-3,1.5533087664290305e-3,7.647334971547349e-4,2.7532099318791645e-3
UnionValue/3583/5592,4.857706022258738e-4,4.8528583644286713e-4,4.8649853920035253e-4,1.9887400402504317e-6,1.5952480284816883e-6,2.690260173119425e-6
UnionValue/26598/39355,7.618535907916957e-3,7.16121258044254e-3,8.413323124330095e-3,1.6345763337098022e-3,8.716123076273778e-4,2.513241183858579e-3
UnionValue/23796/41287,7.68504937596239e-3,7.250864973488783e-3,8.551933408975747e-3,1.6312264773708097e-3,9.041284842270791e-4,2.4536214020886133e-3
UnionValue/11653/19742,2.9291182430923176e-3,2.790501882309337e-3,3.2597961391098327e-3,6.624678899737725e-4,3.066664070383406e-4,1.2380612205005752e-3
UnionValue/2532/4919,3.841465122561567e-4,3.8322004830356246e-4,3.852703541508857e-4,3.593522615880593e-6,3.1150989672216675e-6,4.281740060565697e-6
UnionValue/1934/36388,3.1142136961186616e-3,2.9625394275733146e-3,3.5109225665257903e-3,7.273503962156408e-4,3.261260962948818e-4,1.2992441568255607e-3
UnionValue/10429/19517,2.810806978573035e-3,2.6967048425042247e-3,3.124952987943949e-3,5.59466098466271e-4,2.724356058638681e-4,9.744275887337705e-4
UnionValue/20565/27689,4.673574153576027e-3,4.429908913535723e-3,5.194685389356941e-3,1.037725649390768e-3,4.891811594668706e-4,1.831740645942368e-3
UnionValue/17351/22018,3.6074678879657947e-3,3.4225619687564077e-3,3.998078241559913e-3,8.629211561828899e-4,4.169808124051582e-4,1.5260820919728902e-3
UnionValue/16223/38331,6.167713916884381e-3,5.8592661107129285e-3,6.7618176698908405e-3,1.2916975974179255e-3,6.875118822642931e-4,1.9343276899076581e-3
UnionValue/3151/45997,5.01941562531891e-3,4.719282428050727e-3,5.672302803332571e-3,1.3208659658592427e-3,8.076037090543648e-4,2.1095368972917205e-3
UnionValue/19525/26856,4.46591490618061e-3,4.266392038799621e-3,4.978454619624671e-3,9.347912541954421e-4,5.090956968589512e-4,1.5262141235362718e-3
UnionValue/9098/12569,1.5941687487888371e-3,1.544944638273327e-3,1.72654224564678e-3,2.3349326380335553e-4,1.8446982229099873e-5,4.6189709252483823e-4
UnionValue/666/8827,4.2635037900703445e-4,4.257697544691047e-4,4.274296063650696e-4,2.7236704663598468e-6,1.853795695754721e-6,4.2120328170254885e-6
UnionValue/9260/22322,2.918350950554668e-3,2.8374182936812945e-3,3.2013922537509286e-3,3.8921955240501653e-4,8.665428666419084e-5,7.827718974183347e-4
UnionValue/6819/6841,6.791287140922965e-4,6.77987565565464e-4,6.802821546880182e-4,3.965228991998284e-6,3.207197474963601e-6,5.524498507005159e-6
UnionValue/7508/11982,1.4484137142550164e-3,1.4281798278592914e-3,1.528308544333554e-3,1.2709615688488317e-4,8.660613683163817e-6,2.699104315482405e-4
UnionValue/21332/41599,7.522237411554464e-3,7.0907043943803675e-3,8.393869679694221e-3,1.6509782963667176e-3,9.010888396225555e-4,2.629040661168225e-3
UnionValue/43212/49097,1.1538062692270281e-2,1.0834358432959271e-2,1.2800598157723468e-2,2.4496323590853537e-3,1.5447784488952748e-3,3.8436825947013495e-3
UnionValue/1942/39776,3.536741888732146e-3,3.3442117679744255e-3,3.889916175115898e-3,8.364360594723451e-4,4.4216588781557475e-4,1.3653764206432522e-3
UnionValue/6527/34065,3.8267286909786833e-3,3.6626972470111675e-3,4.253677434815914e-3,7.656210998324882e-4,2.9921093238109844e-4,1.3051619551115012e-3
UnionValue/37914/40260,8.375601094718858e-3,7.878476043767109e-3,9.410693773468003e-3,1.8606812261213919e-3,1.0200241080268798e-3,3.1019165519992143e-3
UnionValue/23440/47575,9.511212107987518e-3,8.997739244728725e-3,1.0551292948077915e-2,1.8999911340913344e-3,1.1969904711998782e-3,2.869763072666401e-3
UnionValue/11328/19010,2.8362336900088223e-3,2.7184542860456775e-3,3.091285506095039e-3,5.804568701303355e-4,3.0179956122084676e-4,1.0271943665849876e-3
UnionValue/15972/19783,3.1907186901702447e-3,3.035157142561226e-3,3.538178294974226e-3,7.35805426511273e-4,3.680788415802903e-4,1.173531455789427e-3
UnionValue/3843/5951,5.336198817605534e-4,5.324492817091784e-4,5.353801646769673e-4,4.829389405701099e-6,3.4312444600054572e-6,6.611875495478971e-6
UnionValue/16336/17876,2.996538058093857e-3,2.8141909831470475e-3,3.3482326301780808e-3,7.69022189187822e-4,3.5801477251663343e-4,1.2869613514301327e-3
UnionValue/19507/24714,4.115698004196587e-3,3.897714812908966e-3,4.569750184540906e-3,8.739437053828164e-4,4.4670305984948204e-4,1.5406153118396678e-3
UnionValue/3952/40603,4.328189127921939e-3,4.079382397157992e-3,4.863257706920295e-3,9.898031499689078e-4,5.313835676761492e-4,1.726515665205528e-3
UnionValue/44661/49188,1.1477642828038216e-2,1.0878041226265985e-2,1.255431432741209e-2,2.207692869508135e-3,1.445085593738914e-3,3.1545351057413874e-3
UnionValue/347/13843,6.455196167530648e-4,6.431917572999151e-4,6.510255904068217e-4,1.1221793063113517e-5,5.537370349881697e-6,1.8075599131097116e-5
UnionValue/2430/4285,3.3766819806464314e-4,3.3734367192386815e-4,3.3808562014805087e-4,1.2414637492384984e-6,9.708815104996983e-7,1.6913101388876854e-6
UnionValue/12456/21788,3.225196928174462e-3,3.082704398004911e-3,3.5520573964597257e-3,6.358531974525054e-4,3.1506952106493785e-4,1.1196742199950519e-3
UnionValue/6047/27947,3.0517430243124813e-3,2.929170598807518e-3,3.367629287548036e-3,5.574592851172621e-4,2.4575591668560016e-4,1.029655841457439e-3
UnionValue/446/825,4.050946844834175e-5,4.048201656085021e-5,4.054220693280709e-5,9.941074540535098e-8,8.117670906648531e-8,1.269633217081345e-7
UnionValue/6249/7301,7.352935466608102e-4,7.339471928887185e-4,7.36772618162483e-4,4.758366372773136e-6,3.6870869099731393e-6,6.550655026142236e-6
UnionValue/2763/24242,1.8159255672879333e-3,1.793484361557426e-3,1.9042137182836791e-3,1.3965079793129206e-4,9.74206586797045e-6,2.9648794803928006e-4
UnionValue/193/1966,6.878865106410345e-5,6.873579000069118e-5,6.888157823518808e-5,2.4802556840779575e-7,1.517326724893705e-7,4.3594817596088e-7
UnionValue/23924/40547,7.621899185821747e-3,7.2301732128571e-3,8.421046442226644e-3,1.5523411445848413e-3,9.564015293621895e-4,2.6973878443161572e-3
UnionValue/21205/33272,5.713579745480931e-3,5.453619966125758e-3,6.38562331983946e-3,1.0980483440200155e-3,5.617600567775493e-4,1.9685245502404224e-3
UnionValue/9680/18454,2.53538677983123e-3,2.431112865392144e-3,2.763632091344468e-3,4.729419260857612e-4,2.5034641521700046e-4,8.349238304912444e-4
UnionValue/15692/15976,2.6369876794883392e-3,2.4815184149226096e-3,2.9322399833104883e-3,6.980828847599853e-4,3.714460413728436e-4,1.1702161182166174e-3
UnionValue/20415/28408,4.770236485603818e-3,4.555812328475372e-3,5.196356002117706e-3,9.138785895537791e-4,5.472880189450827e-4,1.4664037470270004e-3
UnionValue/4795/12978,1.186656205243948e-3,1.1841943657439052e-3,1.18995599384045e-3,9.609437716661291e-6,7.599601662834015e-6,1.3861107345366179e-5
UnionValue/47820/48720,1.1392470658338101e-2,1.0763115743001287e-2,1.247106656731518e-2,2.17706490573624e-3,1.5091116666277955e-3,3.090237926519146e-3
UnionValue/21359/31273,5.421448926119841e-3,5.15345327212067e-3,5.9371987309686e-3,1.0412119568778127e-3,6.030049926173173e-4,1.5395786381056948e-3
UnionValue/6708/12447,1.384159100984698e-3,1.3634483311369251e-3,1.4642242672314805e-3,1.298095129897126e-4,1.0874080253667987e-5,2.746774086594039e-4
UnionValue/16560/39462,6.536416820945354e-3,6.17344872566749e-3,7.262159904652245e-3,1.384253569024011e-3,8.492832289420477e-4,2.2292904687686503e-3
UnionValue/37158/45470,9.955544431152326e-3,9.400789112822687e-3,1.0774498746360096e-2,1.8380807868371102e-3,1.0990222806829429e-3,2.6030437910017994e-3
UnionValue/869/21167,1.1858907597875634e-3,1.182315518564734e-3,1.1951510946274875e-3,1.847123595840725e-5,7.42976097732953e-6,3.2248381308759904e-5
UnionValue/11322/27379,3.8322453857311616e-3,3.6525908956319838e-3,4.1567281436473745e-3,7.286755365765259e-4,3.900229953224053e-4,1.154228624467935e-3
UnionValue/1515/2452,1.731241075856504e-4,1.7187355821560843e-4,1.751932021742607e-4,5.641066988908515e-6,3.4174681205898694e-6,7.631194505690117e-6
UnionValue/25933/25969,4.62877852781244e-3,4.396795596592754e-3,5.150829879424142e-3,9.981361239493182e-4,6.232384324882107e-4,1.6138779632602074e-3
UnionValue/4353/37594,3.939162772642349e-3,3.7401944764149306e-3,4.368783470316209e-3,8.818847421061882e-4,5.170098634247705e-4,1.4639025686961338e-3
UnionValue/5570/7849,7.710074565385024e-4,7.692758610482068e-4,7.733159360301605e-4,6.848221160908182e-6,4.9442148690695885e-6,9.590166311367096e-6
UnionValue/1585/10853,6.828570205724408e-4,6.792836386697922e-4,6.885884346585052e-4,1.4901258057003973e-5,9.22869743329541e-6,2.0788017126010013e-5
UnionValue/1280/5416,3.192521104801916e-4,3.1893705898675134e-4,3.1969543280493614e-4,1.2652047028244679e-6,9.072678015459184e-7,1.8930472254507113e-6
UnionValue/27194/47356,9.814373092863067e-3,9.360294579451338e-3,1.0698813330416642e-2,1.6959587193791823e-3,9.972588981709558e-4,2.7611524597425437e-3
UnionValue/613/887,4.937724892740819e-5,4.934027974636794e-5,4.9416953857996226e-5,1.2897331388140814e-7,1.1079851012228435e-7,1.5201505224740565e-7
UnionValue/531/33630,2.2897407640590445e-3,2.194505218559419e-3,2.4911180191252475e-3,4.253470630837963e-4,2.1363605914588067e-4,7.186622009971455e-4
UnionValue/12821/28172,4.083231399313272e-3,3.920471012440047e-3,4.4102491200673135e-3,7.53820580410394e-4,4.347738510891001e-4,1.2314828658540828e-3
UnionValue/12885/17597,2.7923362472296242e-3,2.6519345961276237e-3,3.0614013213096187e-3,6.403771672901495e-4,3.1249398665646606e-4,1.1449332072904206e-3
UnionValue/7998/45601,6.29219277842925e-3,5.927863580257509e-3,6.880065881072239e-3,1.2772135478228916e-3,8.798514170569127e-4,1.9052324851734836e-3
UnionValue/11189/11524,1.5840117689151425e-3,1.5246098934175842e-3,1.709816448025903e-3,2.7664635045986194e-4,1.135733306180457e-4,4.5678699783740937e-4
UnionValue/20375/34248,5.9173607403548946e-3,5.608035592119064e-3,6.3930237476052506e-3,1.129335420289173e-3,6.808673906058955e-4,1.6808077226460859e-3
UnionValue/31048/49949,1.0822198594930502e-2,1.021513618335486e-2,1.1699428784717457e-2,1.9219138993938874e-3,1.306846947025983e-3,2.7538400815311282e-3
UnionValue/17361/24696,4.041937201534478e-3,3.837915840324594e-3,4.43703845153802e-3,8.367980008558554e-4,4.450512788598186e-4,1.4066146181302547e-3
UnionValue/22484/31560,5.589778121670749e-3,5.325302663704019e-3,6.0930049424561756e-3,1.0720221408624503e-3,7.060803957957074e-4,1.6206010350616393e-3
UnionValue/26295/34361,6.4248009467752654e-3,6.096717269675697e-3,7.000741662860348e-3,1.24781870297478e-3,8.355987980319669e-4,1.9896758106153606e-3
UnionValue/2029/4682,3.3851548089970207e-4,3.381959951833535e-4,3.3892001297645665e-4,1.245505107735701e-6,9.598948008422067e-7,1.6326059982507942e-6
UnionValue/23807/43899,8.673113102511794e-3,8.246153924787515e-3,9.45044514254385e-3,1.5594862715960515e-3,9.740272385440337e-4,2.403901072048123e-3
UnionValue/8145/20188,2.5315465242170794e-3,2.4503970419500762e-3,2.7089576953396623e-3,3.9456839984894696e-4,1.950839122106093e-4,6.979638798966171e-4
UnionValue/16654/27398,4.669597377670811e-3,4.472191632509958e-3,5.1031690277744506e-3,8.909299661024735e-4,5.813859224125758e-4,1.4143000856568766e-3
UnionValue/1654/9066,5.732718568279284e-4,5.728140542137435e-4,5.738138504600852e-4,1.6344366802362352e-6,1.3283662802703762e-6,2.038093379174452e-6
UnionValue/5546/11388,1.1704166543830454e-3,1.1615556831766605e-3,1.203490415894177e-3,5.369111732762475e-5,8.312213278206386e-6,1.1381317420994404e-4
UnionValue/16300/20170,3.3162100258818995e-3,3.159619730562624e-3,3.611757436319969e-3,6.743961441465289e-4,3.86435866245372e-4,1.1547619044326354e-3
UnionValue/1777/35654,3.362668258725799e-3,3.176870597368719e-3,3.6641717743294746e-3,7.255959375742198e-4,4.532716694276565e-4,1.102784260515203e-3
UnionValue/5268/22802,2.254476944261231e-3,2.20345626769986e-3,2.397818544079545e-3,2.647332722607089e-4,1.2422142483853232e-4,4.649574632932164e-4
UnionValue/37163/42140,9.06818223349282e-3,8.599942827266576e-3,9.807705563012584e-3,1.641158339999143e-3,1.1169101553510905e-3,2.3072792515895597e-3
UnionValue/623/2956,1.5098534944971262e-4,1.486612434578416e-4,1.5394486275011873e-4,9.058755549809625e-6,7.855845267021013e-6,9.655612753106894e-6
UnionValue/14539/48479,8.483778964826173e-3,8.022225749020855e-3,9.083080407181011e-3,1.51971693092624e-3,1.0864957504557798e-3,2.0973065090055466e-3
UnionValue/20769/21228,3.595327926505427e-3,3.4175801727890846e-3,3.899138149299315e-3,7.437182880504515e-4,4.50384943563289e-4,1.2239036187422373e-3
UnionValue/12967/20065,3.0854628249585357e-3,2.9545341263505524e-3,3.3365298755938196e-3,5.68753619445325e-4,3.34759585451865e-4,9.489991857863263e-4
UnionValue/4153/34197,3.3812189044638906e-3,3.236992401211879e-3,3.7007191830097453e-3,6.483545618542875e-4,3.683374066626364e-4,1.0444116972457861e-3
UnionValue/742/40286,3.2993994274920224e-3,3.1357587643244325e-3,3.572328522867268e-3,6.750244799189929e-4,4.3753471182800214e-4,1.020098618254662e-3
UnionValue/9988/15652,2.180628113043367e-3,2.098027200229681e-3,2.378885132993753e-3,3.998340654028324e-4,2.0339639002812511e-4,7.261753521505936e-4
UnionValue/23675/34114,5.81527676172308e-3,5.605823567130025e-3,6.2200890734863375e-3,8.139192027076337e-4,5.553395485545488e-4,1.1050719593592086e-3
UnionValue/1590/5281,3.418732343522919e-4,3.4101585320301856e-4,3.446489011717714e-4,4.575235669491619e-6,1.0683816679689598e-6,9.245666261622076e-6
UnionValue/26585/32184,6.1305023672317775e-3,5.846271266754374e-3,6.593747728909476e-3,1.0467046906602257e-3,7.105918761216724e-4,1.5222245994447213e-3
UnionValue/4006/27215,2.4452380971579707e-3,2.3762720873793143e-3,2.607393003457251e-3,3.353173888789609e-4,1.6692692732628154e-4,6.379744518278181e-4
UnionValue/3360/13108,1.0521454700848556e-3,1.044933596332725e-3,1.0614100806393763e-3,3.0118698795635576e-5,2.2481087414007426e-5,4.616926904343742e-5
UnionValue/22757/40038,7.495836805707404e-3,7.1706035980446114e-3,8.08712982428977e-3,1.2008097462125995e-3,8.245209088597609e-4,1.8626235843115736e-3
UnionValue/15455/17841,2.9516057601105842e-3,2.808328244536623e-3,3.1842480155208747e-3,5.783192300131855e-4,3.498651570254687e-4,9.562033398324644e-4
UnionValue/13591/16768,2.6962760674896424e-3,2.5798255369471933e-3,2.9214597812511666e-3,5.062274880915042e-4,2.8856198755719135e-4,7.820423639437314e-4
UnionValue/45066/46425,1.0760864697431429e-2,1.0240403980375207e-2,1.1679937254116842e-2,1.7854382687381022e-3,1.1634402005162045e-3,2.926082189745971e-3
UnionValue/379/5362,2.1928612902688503e-4,2.1904077813428952e-4,2.1960050581289273e-4,9.037788666396409e-7,6.522484041278634e-7,1.2848447128224022e-6
UnionValue/9992/26134,3.507428902109809e-3,3.3672897045828195e-3,3.7897727081156545e-3,5.868708431834459e-4,3.3590242243968963e-4,1.0186578424490312e-3
UnionValue/913/2210,1.3120753756581754e-4,1.3105812275158096e-4,1.3137742284497945e-4,5.219939419095643e-7,4.1643586777350237e-7,6.522418044028364e-7
UnionValue/876/1123,7.504119114262723e-5,7.492979777467362e-5,7.517449594487963e-5,4.0702471509653386e-7,3.5191308892112754e-7,4.794472895304559e-7
UnionValue/4335/36270,3.808661829832244e-3,3.6178627368466634e-3,4.152801113158661e-3,7.438415685019394e-4,4.0403803932592447e-4,1.3086993852716479e-3
UnionValue/16426/17696,2.9243445365631586e-3,2.8009119687883604e-3,3.2094471757063204e-3,5.793592831548423e-4,3.7877216690268306e-4,9.222691092820017e-4
UnionValue/1571/1670,1.2067516222945318e-4,1.2049879484108719e-4,1.2110633418967953e-4,8.869564806400014e-7,3.9578364674824673e-7,1.82504600526824e-6
UnionValue/40679/49688,1.1825651132657496e-2,1.125005158573903e-2,1.2563932225277796e-2,1.7039788962347187e-3,1.4199646201193583e-3,2.2979764800546043e-3
UnionValue/11944/21059,3.1863320795802604e-3,3.0635461515308654e-3,3.4112233273687134e-3,5.59066555808474e-4,3.184238534530809e-4,9.967174186532477e-4
UnionValue/13801/46615,7.757278272647899e-3,7.432027400538822e-3,8.285342124223754e-3,1.119822075081233e-3,7.994319985875602e-4,1.6555377916441115e-3
UnionValue/5279/36189,3.909464800602978e-3,3.7562543285961578e-3,4.187709663842702e-3,6.147954015399367e-4,3.978357005915523e-4,9.071644871066424e-4
UnionValue/1359/10195,6.026329516553841e-4,6.019284387834579e-4,6.037799236363287e-4,3.1287572215807e-6,2.2110642669900782e-6,5.0569531362636215e-6
UnionValue/11375/13314,1.9286404676157665e-3,1.85906714534457e-3,2.0696932677754594e-3,3.1180776343267514e-4,1.8438178549333372e-4,5.276827464169726e-4
UnionValue/18021/46373,8.394768756030409e-3,8.021817641545866e-3,8.961640591216508e-3,1.2467848517368812e-3,8.891773020887428e-4,1.6328278475490497e-3
UnionValue/1744/12818,8.335883556739432e-4,8.268616382040622e-4,8.500311455969173e-4,3.269996184643675e-5,8.300876028155614e-6,6.225658617139657e-5
UnionValue/1301/16319,9.516589087100835e-4,9.476089288919093e-4,9.552224014941236e-4,1.2929402234407316e-5,1.0745417911938233e-5,1.5400039997566516e-5
UnionValue/9395/25655,3.309572964447403e-3,3.219448495921062e-3,3.514355610168104e-3,4.078218571113398e-4,2.3119539680710772e-4,7.12236895934289e-4
UnionValue/20906/27007,4.468820573314851e-3,4.335530351276706e-3,4.66883102342158e-3,4.7004940730242735e-4,3.1536114461363455e-4,6.409309560983883e-4
UnionValue/17507/32634,5.331754206519601e-3,5.117168698192517e-3,5.6965928454851085e-3,7.893467728780895e-4,5.34954505620603e-4,1.2186303808123646e-3
