# Plutus Core cost model benchmark results
# Started at 2025-12-09 15:17:07.220886442 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
UnionValue/7131/8215,8.680942681377847e-4,8.64962315442194e-4,8.772850259578913e-4,1.6968562026286005e-5,5.110675316167294e-6,3.469352393656688e-5
UnionValue/1846/2074,1.571934521761311e-4,1.56973319737303e-4,1.5750572017313424e-4,8.706323691910372e-7,6.368433481596887e-7,1.228200579697431e-6
UnionValue/171/1328,4.6385859689885906e-5,4.62447357928364e-5,4.69932785492179e-5,7.937348391088882e-7,1.9984069988215275e-7,1.7724601615548303e-6
UnionValue/50/5750,1.910701712085485e-4,1.908448946354647e-4,1.9146510725590938e-4,1.0501604917400381e-6,6.824726333984575e-7,1.7158882692309292e-6
UnionValue/5332/6235,5.961447211323621e-4,5.952317407024132e-4,5.970250788833371e-4,3.1224350801458444e-6,2.606327115039444e-6,3.74605265686365e-6
UnionValue/760/909,5.4362517679036966e-5,5.4315121068289086e-5,5.440888599362936e-5,1.5977612935726294e-7,1.342061718319836e-7,1.983872983841678e-7
UnionValue/1131/5802,3.2552972733999397e-4,3.2492322714062366e-4,3.2742489353279624e-4,3.413111661865277e-6,1.409779606781301e-6,6.668433960741543e-6
UnionValue/47/7555,2.633425069685164e-4,2.628882395620124e-4,2.640176463903576e-4,1.895119906789452e-6,1.2357252731974798e-6,3.0016905538778687e-6
UnionValue/2550/4479,3.4914297272689473e-4,3.4848780048067407e-4,3.4973834487464755e-4,1.922011909838065e-6,1.4185717506065187e-6,2.6780801188700052e-6
UnionValue/273/3190,1.2122731723538084e-4,1.209632699588906e-4,1.2175809166688994e-4,1.2162721071010883e-6,7.075340747748194e-7,2.1101787314390677e-6
UnionValue/184/3316,1.1518243002294777e-4,1.1498897876673323e-4,1.1539280728470742e-4,7.042908360640285e-7,5.490033138422865e-7,8.909102506607569e-7
UnionValue/7/2693,7.28917095056628e-5,7.283783369839361e-5,7.29882089518583e-5,2.2881593538542554e-7,1.490942106184105e-7,4.1470917620601283e-7
UnionValue/4539/7974,7.369080256709674e-4,7.358393412427405e-4,7.382097893753472e-4,4.033175944974759e-6,3.053237478223401e-6,5.346098685099619e-6
UnionValue/133/9771,3.794126332613418e-4,3.7883900847450523e-4,3.8018005441629106e-4,2.1436365605546683e-6,1.665216960442922e-6,3.1458154794352076e-6
UnionValue/4562/5474,5.009980105473189e-4,4.985868833967224e-4,5.063295153413357e-4,1.1555042541063024e-5,1.861607120194021e-6,1.9892544664438363e-5
UnionValue/1355/2925,1.866793214722641e-4,1.8655559256716678e-4,1.8687986820147096e-4,5.070049767165851e-7,3.3728105721056274e-7,8.038233995872621e-7
UnionValue/4659/8489,7.758655585352395e-4,7.743349469565411e-4,7.773983677863991e-4,5.252236355067553e-6,4.281987787787773e-6,6.704074290851542e-6
