Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
AddInteger/ExMemory 0/ExMemory 0,1.5333252203286203e-5,1.509622148423669e-5,1.5947903022842102e-5,1.2261462205109709e-6,4.5395709165888925e-7,2.0888348213829015e-6
AddInteger/ExMemory 0/ExMemory 0,1.5143642329831516e-5,1.509876139342776e-5,1.5269578714298012e-5,2.3727869242026457e-7,1.0801293046003247e-7,4.5310315174916183e-7
AddInteger/ExMemory 0/ExMemory 0,1.547888650784119e-5,1.5162313513253815e-5,1.614671856600312e-5,1.4711745113229154e-6,1.777447863474951e-7,2.550565092306458e-6
AddInteger/ExMemory 0/ExMemory 0,1.536408208380605e-5,1.5133986472367362e-5,1.6085949528147955e-5,1.1938652492235574e-6,5.20158385636535e-7,2.4809192668368927e-6
AddInteger/ExMemory 0/ExMemory 0,1.5279758478491325e-5,1.5075239061360398e-5,1.60010219499672e-5,1.194923559004104e-6,2.4542886655827286e-7,2.474407608941205e-6
AddInteger/ExMemory 0/ExMemory 1,1.7266113802862652e-5,1.7134102314404198e-5,1.7611988051709238e-5,6.872082812574785e-7,3.51901294555069e-7,1.23554049152468e-6
AddInteger/ExMemory 0/ExMemory 3,1.712656049401539e-5,1.7040484621516747e-5,1.731101930165638e-5,4.1017324010580545e-7,1.8320897280839023e-7,7.299411545566611e-7
AddInteger/ExMemory 0/ExMemory 6,1.7272831646287524e-5,1.709236066473386e-5,1.783514036769346e-5,1.0040824508803746e-6,2.7390216127371016e-7,2.0393214036441397e-6
AddInteger/ExMemory 0/ExMemory 13,1.727845518368924e-5,1.7173815401162728e-5,1.751458380908255e-5,4.944225578349513e-7,3.002873869063088e-7,8.567918055322553e-7
AddInteger/ExMemory 0/ExMemory 27,1.739612925893627e-5,1.7338631278899494e-5,1.7439157463489832e-5,1.6743776711288527e-7,1.2058742948514748e-7,2.3217495338928805e-7
AddInteger/ExMemory 0/ExMemory 54,1.7623394585939356e-5,1.752302851770018e-5,1.7853073639819208e-5,4.65049974526225e-7,2.7291487398548024e-7,8.419208792254142e-7
AddInteger/ExMemory 0/ExMemory 108,1.8649734997902202e-5,1.8084123803394814e-5,2.0064721320611707e-5,2.9107476395550087e-6,1.0774031650758882e-6,5.216295505597848e-6
