# Plutus Core cost model benchmark results for cost model update for Conway HF.
# Started at 2024-03-02 14:12:35.114650233 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
ByteStringToInteger/1/1,8.701587151485845e-7,8.695992197020948e-7,8.706219082340251e-7,1.786553365358892e-9,1.5068895435919598e-9,2.16859356505665e-9
ByteStringToInteger/1/2,9.708934718963369e-7,9.701902571801776e-7,9.718905799319766e-7,2.8668300379969556e-9,1.9571787651307196e-9,4.1324353426257444e-9
ByteStringToInteger/1/3,1.0292950300397873e-6,1.0286588237683457e-6,1.0299614588145776e-6,2.141935522210625e-9,1.8085743464522427e-9,2.7015456159373413e-9
ByteStringToInteger/1/4,1.0838440184403118e-6,1.0831432083840037e-6,1.0845187653263503e-6,2.319709751289899e-9,1.9536363490737607e-9,2.803246325306796e-9
ByteStringToInteger/1/5,1.1411794575279867e-6,1.1402639508251524e-6,1.141859309638091e-6,2.653524473976193e-9,2.130419777469873e-9,3.461311062743688e-9
ByteStringToInteger/1/6,1.1949526948362669e-6,1.1937707818761615e-6,1.1960429063653014e-6,4.034283098437127e-9,3.5230117906140812e-9,4.8490300962834144e-9
ByteStringToInteger/1/7,1.2605070324856713e-6,1.2579043648294191e-6,1.2627620662753844e-6,8.237166757573043e-9,7.415447450171269e-9,9.225171217068829e-9
ByteStringToInteger/1/8,1.2979273296447537e-6,1.2971285371594346e-6,1.2989393807971623e-6,2.9179265984527974e-9,2.2092628270975455e-9,3.7763519474649585e-9
ByteStringToInteger/1/9,1.3569316794041835e-6,1.355800053720981e-6,1.3582686877642924e-6,4.0664394111327824e-9,2.973273924563507e-9,5.3116155029284375e-9
ByteStringToInteger/1/10,1.4181447682707617e-6,1.4166171136027466e-6,1.420029008535551e-6,5.4981150513688624e-9,4.501017331311014e-9,6.762532816191708e-9
ByteStringToInteger/1/11,1.4662282096494146e-6,1.4654399455690254e-6,1.4670445358334541e-6,2.7000549507999928e-9,2.3286150323457495e-9,3.1997561173302405e-9
ByteStringToInteger/1/12,1.5348350550335435e-6,1.5337681226363509e-6,1.5359123134476223e-6,3.5605125800216544e-9,3.0562111039641283e-9,4.166951018325455e-9
ByteStringToInteger/1/13,1.604991339869393e-6,1.6044010798094501e-6,1.6055602491184561e-6,1.9931843124742328e-9,1.6664713068807505e-9,2.4137593898300335e-9
ByteStringToInteger/1/14,1.6427448849303002e-6,1.6418808812210865e-6,1.6438246786979278e-6,3.2739157037148326e-9,2.6883841968382145e-9,4.60993204472238e-9
ByteStringToInteger/1/15,1.6981657855799416e-6,1.696155646564107e-6,1.6997079342324769e-6,5.604091891279577e-9,4.5287977051230526e-9,7.085674294657377e-9
ByteStringToInteger/1/16,1.7567492344157292e-6,1.7551206502529544e-6,1.758167301048441e-6,5.141506879339973e-9,4.407501543522512e-9,6.3733471940335976e-9
ByteStringToInteger/1/17,1.8318183668754936e-6,1.8297108409982768e-6,1.8346602073006613e-6,8.161190273392588e-9,5.929636476475529e-9,1.1177393629003225e-8
ByteStringToInteger/1/18,1.8861410924142303e-6,1.8853496851979655e-6,1.8870073425720592e-6,2.7600030944387888e-9,2.36579769428604e-9,3.385986636764579e-9
ByteStringToInteger/1/19,1.941084404234559e-6,1.9400112430480605e-6,1.9425785791512345e-6,4.191950412346946e-9,3.412229886572053e-9,5.353740993792639e-9
ByteStringToInteger/1/20,2.019203645268539e-6,2.017076240443324e-6,2.021740016958948e-6,7.930818111211396e-9,6.77388179732799e-9,9.66035550212999e-9
ByteStringToInteger/1/21,2.0712228644326997e-6,2.070369421239098e-6,2.0722106372994484e-6,3.0871339539577923e-9,2.413310316371181e-9,4.6336821982267696e-9
ByteStringToInteger/1/22,2.167004546256689e-6,2.1623528026063336e-6,2.1715174062318364e-6,1.5592372522339147e-8,1.3467236812354603e-8,1.7969038415165856e-8
ByteStringToInteger/1/23,2.1850342242374825e-6,2.1837813236584685e-6,2.186198524823925e-6,4.399035271253751e-9,3.3760162315640675e-9,5.500923824602462e-9
ByteStringToInteger/1/24,2.234051199696886e-6,2.233422036117021e-6,2.2345182459215167e-6,1.8747164006221573e-9,1.4015578827821868e-9,2.632792177202182e-9
ByteStringToInteger/1/25,2.2976089594298784e-6,2.2965635668430645e-6,2.2987949959005176e-6,3.611809177928258e-9,2.887410964256446e-9,4.533178214855923e-9
ByteStringToInteger/1/26,2.4012799760698353e-6,2.392898208589152e-6,2.4064166399683364e-6,2.2322302939354906e-8,1.607612050885263e-8,2.9091063939440585e-8
ByteStringToInteger/1/27,2.4080451037174465e-6,2.4070449219221756e-6,2.4095285729613835e-6,3.909757550778401e-9,2.8922139326824713e-9,6.096859453287539e-9
ByteStringToInteger/1/28,2.4614279660352254e-6,2.460242111129191e-6,2.4627680853044877e-6,4.041561591893301e-9,3.059372981461266e-9,5.236403528139054e-9
ByteStringToInteger/1/29,2.5373128845686297e-6,2.5367259663798957e-6,2.5378267265645994e-6,1.756259851486162e-9,1.4349199192342345e-9,2.2269354694455566e-9
ByteStringToInteger/1/30,2.6508470856345383e-6,2.648785096108944e-6,2.6525133466835377e-6,5.996466125902071e-9,4.5217288606436525e-9,7.507333094386075e-9
ByteStringToInteger/1/31,2.7014950789296843e-6,2.6980307687109707e-6,2.7042878096669332e-6,1.057730206177681e-8,8.164795170387756e-9,1.4384960261303766e-8
ByteStringToInteger/1/32,2.7022063379738996e-6,2.7004108512822632e-6,2.7046610536461644e-6,7.507576416983895e-9,5.817796723889046e-9,8.990320192246385e-9
ByteStringToInteger/1/33,2.7743244685583155e-6,2.7731882291235287e-6,2.775400859507621e-6,3.801328770166313e-9,3.1289693974527676e-9,4.914156358983955e-9
ByteStringToInteger/1/34,2.8656392883334e-6,2.857882775714016e-6,2.8744936875157146e-6,2.7819136046915467e-8,2.6632756751967898e-8,2.9257527462854653e-8
ByteStringToInteger/1/35,2.9126170624255685e-6,2.9112788370320943e-6,2.913779766497784e-6,4.3324956593356865e-9,3.5409800658411675e-9,5.807421015220281e-9
ByteStringToInteger/1/36,2.9403340248323977e-6,2.938948329182225e-6,2.942384346413237e-6,5.417751204410087e-9,3.9567774697456496e-9,7.400487800478822e-9
ByteStringToInteger/1/37,3.0371657968865173e-6,3.0359920393114145e-6,3.0379744381959295e-6,3.1926903206055523e-9,2.0904465617946018e-9,4.824366332500749e-9
ByteStringToInteger/1/38,3.1038435111150718e-6,3.1022068752972067e-6,3.105293712006911e-6,5.179828455879284e-9,4.3275610619875476e-9,6.438080148908786e-9
ByteStringToInteger/1/39,3.153215147989156e-6,3.151967510301594e-6,3.154709111565791e-6,4.267139194013316e-9,3.307312254462408e-9,6.014796664921011e-9
ByteStringToInteger/1/40,3.2104724653931605e-6,3.208674321704639e-6,3.212862233633637e-6,6.572532480001521e-9,5.5187558356831915e-9,8.006232401196558e-9
ByteStringToInteger/1/41,3.2385485672454453e-6,3.2348419401512204e-6,3.2415714442567918e-6,1.170201774866398e-8,9.458121637231633e-9,1.4137316505052804e-8
ByteStringToInteger/1/42,3.324127628088958e-6,3.322583854274647e-6,3.3256335524475118e-6,5.085873412835164e-9,4.324927821229293e-9,6.0755955802208685e-9
ByteStringToInteger/1/43,3.4183502477207274e-6,3.41714869449614e-6,3.4194161464443303e-6,3.845367070673906e-9,3.091265752425899e-9,5.059250120364244e-9
ByteStringToInteger/1/44,3.501047933294049e-6,3.4941219222228106e-6,3.5095800365833514e-6,2.617841010720543e-8,2.2950450243311324e-8,2.8495311271460095e-8
ByteStringToInteger/1/45,3.536368924340032e-6,3.534456391216447e-6,3.539198245218573e-6,7.839031728831225e-9,5.091750180414684e-9,1.4014843854738417e-8
ByteStringToInteger/1/46,3.6098637712290673e-6,3.60886686071955e-6,3.611111337820483e-6,3.6501001119264382e-9,2.8905108616746283e-9,4.675635765447376e-9
ByteStringToInteger/1/47,3.6303244790989544e-6,3.627744732821216e-6,3.6336576095086504e-6,9.8416860738614e-9,7.573730809351062e-9,1.517615304180607e-8
ByteStringToInteger/1/48,3.7454517333314217e-6,3.7439026985552433e-6,3.7473746599608958e-6,5.897564342370854e-9,4.793750489118193e-9,7.4213441599667096e-9
ByteStringToInteger/1/49,3.7962160922746404e-6,3.793944447793181e-6,3.7979816413743993e-6,6.773209885797533e-9,5.404995980472014e-9,8.575213221289075e-9
ByteStringToInteger/1/50,3.859373935267334e-6,3.8580897868388866e-6,3.8608430699077e-6,4.723872695057115e-9,3.751494162241635e-9,5.948661476580333e-9
ByteStringToInteger/1/51,3.919680601025825e-6,3.918857673033675e-6,3.9204739469676e-6,2.6352341947241266e-9,2.170979607596329e-9,3.821266896668395e-9
ByteStringToInteger/1/52,3.957234570281064e-6,3.955656727422172e-6,3.959074665549957e-6,5.660025220267881e-9,4.882263661396652e-9,6.719942974510785e-9
ByteStringToInteger/1/53,4.079905395559247e-6,4.076113661865789e-6,4.0862744564742205e-6,1.6021451491226646e-8,1.0024355320185737e-8,2.378831101612724e-8
