# Plutus Core cost model benchmark results
# Started at 2026-08-17 11:06:11.409378667 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
MatchData/22/4,7.369602926948172e-7,7.35363551656129e-7,7.4054727701093e-7,7.704405444336963e-9,3.945660607297382e-9,1.515432145235103e-8
MatchData/23/9,7.491440739268582e-7,7.474829642429691e-7,7.498554311128059e-7,3.461528080833987e-9,1.5083164375110635e-9,6.75175541264225e-9
MatchData/173/9,8.79390207911212e-7,8.7890027371532e-7,8.800089816474105e-7,1.8800433175345666e-9,1.5873822147431718e-9,2.3552898652565205e-9
MatchData/24/14,7.355976615829281e-7,7.343613780001406e-7,7.399875191467707e-7,6.930066475695e-9,1.7609186882513426e-9,1.4229959739044034e-8
MatchData/174/14,8.905003567358776e-7,8.89435612582554e-7,8.913277522922564e-7,3.2272446618997967e-9,2.493474557430376e-9,3.992458587080843e-9
MatchData/194/14,9.037280194290831e-7,9.013770622528363e-7,9.073546859642565e-7,9.343699911922213e-9,5.877272626445717e-9,1.7084995960864543e-8
MatchData/26/24,7.608965292089504e-7,7.579184335756818e-7,7.63071031622492e-7,8.692189740495797e-9,6.74558478703508e-9,1.0472278079946533e-8
MatchData/176/24,8.894991295218337e-7,8.884451343864546e-7,8.908914410439664e-7,3.884460764247573e-9,3.3742893401450535e-9,5.346286662236417e-9
MatchData/196/24,9.217230176104781e-7,9.203762885057554e-7,9.230092370008133e-7,4.261838886965421e-9,3.5046469903989934e-9,5.232826447589867e-9
MatchData/236/24,9.288226768532326e-7,9.271425473825603e-7,9.311034433938975e-7,6.510123712528709e-9,4.664193515356342e-9,9.710740016712445e-9
MatchData/30/44,7.51341358327744e-7,7.499375952450226e-7,7.525068570220958e-7,4.389986687785809e-9,3.5660819313586812e-9,5.148182629589418e-9
MatchData/180/44,8.981668474919013e-7,8.959971130051584e-7,9.035279876800853e-7,1.0279935397446271e-8,3.4957693993466097e-9,1.8353251373937282e-8
MatchData/200/44,9.141454352432209e-7,9.137228635021165e-7,9.149464591341066e-7,1.949871752181587e-9,1.3610301931037817e-9,3.2224019418763123e-9
MatchData/240/44,9.363909182393774e-7,9.3548032957659e-7,9.37635355427221e-7,3.7233180068551296e-9,2.9484272639994192e-9,4.746808053224564e-9
MatchData/320/44,9.976265882734255e-7,9.967825422823018e-7,9.986161326860195e-7,3.0939695940206436e-9,2.5916622835432384e-9,4.156938115484216e-9
MatchData/38/84,7.65459666364294e-7,7.645300591922204e-7,7.665040667565543e-7,3.415072892352763e-9,2.932180153843249e-9,3.938184923765448e-9
MatchData/188/84,9.144667459601159e-7,9.134088187058534e-7,9.155863901852014e-7,3.4801493175829118e-9,2.9711500808498317e-9,4.1132889636026994e-9
MatchData/248/84,9.513935524769506e-7,9.509571622453824e-7,9.519323426354322e-7,1.575062685944507e-9,1.191708150557698e-9,2.2942714622670916e-9
MatchData/328/84,1.012640857731766e-6,1.0106035476517573e-6,1.0151518927801705e-6,7.387767355770998e-9,5.883933911469032e-9,9.580783277479962e-9
