# Plutus Core cost model benchmark results
# Started at 2022-12-17 10:00:03.280205694 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
IfThenElse/ExMemory 100/ExMemory 100,7.818155307016337e-7,7.794514773536152e-7,7.843143610687004e-7,8.10738870001365e-9,7.522212545941252e-9,9.11320973848712e-9
IfThenElse/ExMemory 100/ExMemory 500,8.097042234584795e-7,8.077585633878101e-7,8.105142248943309e-7,4.012844199179268e-9,1.3710222373827957e-9,6.4412859863922335e-9
IfThenElse/ExMemory 100/ExMemory 1000,8.110120611017708e-7,8.085887887080021e-7,8.126621390171967e-7,6.506935855849768e-9,4.623035556836304e-9,8.413653694489338e-9
IfThenElse/ExMemory 100/ExMemory 2000,8.146920638122465e-7,8.145004287339651e-7,8.14888955695881e-7,5.9385283109789e-10,4.5376838610388857e-10,7.905695382131933e-10
IfThenElse/ExMemory 100/ExMemory 5000,8.144450788157054e-7,8.124846309075492e-7,8.156703497950659e-7,5.27843413518364e-9,3.749467046786315e-9,6.895437848590895e-9
IfThenElse/ExMemory 100/ExMemory 10000,8.169750066922695e-7,8.155059981808834e-7,8.176796012643711e-7,3.2627785494085e-9,1.7897938103466837e-9,6.036337790986249e-9
IfThenElse/ExMemory 100/ExMemory 20000,8.065672994735868e-7,8.0391712397508e-7,8.088598641445873e-7,8.314732746248619e-9,7.599680389465062e-9,8.855357174322448e-9
IfThenElse/ExMemory 500/ExMemory 100,8.120647246886411e-7,8.09811815307343e-7,8.137196118794447e-7,6.779723428013226e-9,5.195634577852832e-9,8.195184530346556e-9
IfThenElse/ExMemory 500/ExMemory 500,8.137949930292587e-7,8.135195145942728e-7,8.141155917843721e-7,9.89950658703018e-10,7.503548626549791e-10,1.378388400727611e-9
IfThenElse/ExMemory 500/ExMemory 1000,8.02179467716968e-7,8.005223322990569e-7,8.045917379299143e-7,6.633203825483036e-9,5.417741215333544e-9,7.72520317759554e-9
IfThenElse/ExMemory 500/ExMemory 2000,8.160456261926022e-7,8.154983076661005e-7,8.165608382090943e-7,1.7717480325726545e-9,1.5092838126980214e-9,2.2987893876547838e-9
IfThenElse/ExMemory 500/ExMemory 5000,8.148157789907872e-7,8.122673979129592e-7,8.167665926285629e-7,7.543985579804445e-9,5.820824906714631e-9,9.219374816529775e-9
IfThenElse/ExMemory 500/ExMemory 10000,8.076582666762787e-7,8.052894004660488e-7,8.093257634062014e-7,6.86822752433951e-9,5.3207812469601666e-9,8.257955632876314e-9
IfThenElse/ExMemory 500/ExMemory 20000,8.142615224345996e-7,8.127346700489021e-7,8.151345864929842e-7,3.828268806281951e-9,2.4499536677892446e-9,5.730324030790447e-9
IfThenElse/ExMemory 1000/ExMemory 100,8.104416888009182e-7,8.087492844560084e-7,8.118260784708364e-7,5.069954953340112e-9,3.590554985376365e-9,6.574029440227804e-9
IfThenElse/ExMemory 1000/ExMemory 500,8.17657509346272e-7,8.1612424636181e-7,8.186369022388862e-7,4.1008261522834286e-9,2.8086929611159164e-9,6.224601283351984e-9
IfThenElse/ExMemory 1000/ExMemory 1000,8.120000266647105e-7,8.096216455792978e-7,8.138080663521036e-7,7.166810301368849e-9,5.134820659488252e-9,9.138035416734954e-9
IfThenElse/ExMemory 1000/ExMemory 2000,8.134902674051707e-7,8.114565164449928e-7,8.147457219115995e-7,5.322971669657714e-9,3.4839343572277347e-9,7.242953509411387e-9
IfThenElse/ExMemory 1000/ExMemory 5000,8.086759500696348e-7,8.058682644632066e-7,8.10849110779154e-7,8.171165434034785e-9,7.710789744185208e-9,8.668985242350304e-9
IfThenElse/ExMemory 1000/ExMemory 10000,8.152193551494038e-7,8.148538296948324e-7,8.156481270198473e-7,1.3487405304983874e-9,1.0867737748655332e-9,1.760724237724107e-9
IfThenElse/ExMemory 1000/ExMemory 20000,8.111341849006835e-7,8.091669259074333e-7,8.128362410363605e-7,6.241971736124425e-9,4.615263838718283e-9,7.555103702554412e-9
IfThenElse/ExMemory 2000/ExMemory 100,8.052075209471692e-7,8.033044526197165e-7,8.074492966225259e-7,6.95905788211268e-9,6.0852294115522364e-9,7.970886264891516e-9
IfThenElse/ExMemory 2000/ExMemory 500,7.986884247993153e-7,7.978676281530826e-7,8.004298634384641e-7,3.854451970363207e-9,1.3359014940609238e-9,6.4527324780133225e-9
IfThenElse/ExMemory 2000/ExMemory 1000,8.029966792424506e-7,8.010358562877728e-7,8.052419722651135e-7,6.9100174975223584e-9,5.251201096484244e-9,7.987575008221092e-9
IfThenElse/ExMemory 2000/ExMemory 2000,8.130510716491831e-7,8.124015427609153e-7,8.137857652021355e-7,2.2664677222942153e-9,1.8380500421909387e-9,2.9806016317708178e-9
IfThenElse/ExMemory 2000/ExMemory 5000,8.113179952403558e-7,8.091193378806521e-7,8.138540441050776e-7,8.497833927511732e-9,7.586439493650957e-9,1.0352631792074981e-8
IfThenElse/ExMemory 2000/ExMemory 10000,8.020556092689383e-7,7.99997589835423e-7,8.048905359951095e-7,8.182325601431239e-9,6.5820196667651075e-9,9.580692798849398e-9
IfThenElse/ExMemory 2000/ExMemory 20000,8.074018715309874e-7,8.050694719393615e-7,8.098238457439186e-7,8.299611944610483e-9,7.903110600624536e-9,8.825140252143209e-9
IfThenElse/ExMemory 5000/ExMemory 100,8.072577342001538e-7,8.045572757202777e-7,8.098084308632663e-7,8.511632189857272e-9,8.058051489926479e-9,8.994105342107374e-9
IfThenElse/ExMemory 5000/ExMemory 500,8.100282503261068e-7,8.076026858648501e-7,8.122636209850894e-7,7.631467899273915e-9,6.0387454145617084e-9,8.536908487840688e-9
IfThenElse/ExMemory 5000/ExMemory 1000,8.167230078265945e-7,8.148500179765833e-7,8.176006023494991e-7,4.04527768992617e-9,1.402266211201662e-9,6.822576774736875e-9
IfThenElse/ExMemory 5000/ExMemory 2000,8.006396060051577e-7,7.991844300276548e-7,8.028890004966044e-7,5.96525833060634e-9,4.157119761359963e-9,7.433096114535126e-9
IfThenElse/ExMemory 5000/ExMemory 5000,8.155883570620065e-7,8.135176245222869e-7,8.165656681544573e-7,4.449312490519358e-9,1.7167167840260212e-9,7.307689376190675e-9
IfThenElse/ExMemory 5000/ExMemory 10000,8.078825941916641e-7,8.049613493347073e-7,8.100916098644287e-7,8.377394634261332e-9,7.626067836411938e-9,8.915264999886718e-9
IfThenElse/ExMemory 5000/ExMemory 20000,8.152026685973079e-7,8.148227093241864e-7,8.155613178573746e-7,1.2190523697233077e-9,9.050130022611905e-10,1.8157730897619884e-9
IfThenElse/ExMemory 10000/ExMemory 100,8.032542625058065e-7,8.005445011543531e-7,8.061081484227653e-7,9.57946868365443e-9,8.797680240759317e-9,1.0522578239710578e-8
IfThenElse/ExMemory 10000/ExMemory 500,8.129874665384037e-7,8.105887368508692e-7,8.143991309935968e-7,5.745598574602262e-9,3.943425333278796e-9,7.475649658112511e-9
IfThenElse/ExMemory 10000/ExMemory 1000,8.086230030527651e-7,8.063469219839517e-7,8.10783553106365e-7,7.71828185259528e-9,6.7432066577802856e-9,8.284826038689979e-9
IfThenElse/ExMemory 10000/ExMemory 2000,8.031361251835561e-7,8.015608628829361e-7,8.052920198467761e-7,6.3351944468822075e-9,4.654957690198867e-9,7.716379012002223e-9
IfThenElse/ExMemory 10000/ExMemory 5000,8.116407603213511e-7,8.086488013421079e-7,8.142055670918526e-7,9.51557456208791e-9,8.670545861900555e-9,1.0261359015603904e-8
IfThenElse/ExMemory 10000/ExMemory 10000,8.002070863394338e-7,7.987679386164756e-7,8.025520815444002e-7,6.1612904318522096e-9,4.400322114845557e-9,7.698429775017849e-9
IfThenElse/ExMemory 10000/ExMemory 20000,8.137782414195305e-7,8.135291004728599e-7,8.14057555150508e-7,8.465477587145668e-10,6.933329299929372e-10,1.0603725653969128e-9
IfThenElse/ExMemory 20000/ExMemory 100,8.129230569076625e-7,8.10737218007007e-7,8.14494052349802e-7,6.064155819397778e-9,4.669178371551689e-9,7.4061181340511735e-9
IfThenElse/ExMemory 20000/ExMemory 500,8.121903059745635e-7,8.101157974183406e-7,8.13204286767203e-7,4.696146790181367e-9,2.843267422194386e-9,6.763040784363296e-9
IfThenElse/ExMemory 20000/ExMemory 1000,8.006298330311448e-7,7.991105617571331e-7,8.026276771400836e-7,6.191234463455242e-9,4.774242579532334e-9,7.427682773745522e-9
IfThenElse/ExMemory 20000/ExMemory 2000,8.101080619994758e-7,8.073825536188225e-7,8.122201888435315e-7,8.175620243771117e-9,6.881149079114788e-9,8.947109862341533e-9
IfThenElse/ExMemory 20000/ExMemory 5000,8.104809360059021e-7,8.081992204496406e-7,8.126164882725742e-7,7.491401090727963e-9,5.9940091205218756e-9,8.961070398305273e-9
IfThenElse/ExMemory 20000/ExMemory 10000,8.087200245772287e-7,8.0638550206793e-7,8.106296906664001e-7,7.229128800728589e-9,6.161504573691185e-9,8.229492055139853e-9
IfThenElse/ExMemory 20000/ExMemory 20000,8.1442395860516e-7,8.128608920247534e-7,8.154283076843542e-7,4.044195689576777e-9,2.3104050845213408e-9,5.858417702973242e-9
IfThenElse/ExMemory 100/ExMemory 100,8.121148636025649e-7,8.102710644189493e-7,8.136212476637216e-7,5.919027811599585e-9,4.393426041752741e-9,7.26863936114603e-9
IfThenElse/ExMemory 100/ExMemory 500,8.068565897955147e-7,8.043365967427594e-7,8.093838294312533e-7,8.497458717909834e-9,7.991678865351682e-9,9.025082306838783e-9
IfThenElse/ExMemory 100/ExMemory 1000,8.177086880564611e-7,8.165477348505805e-7,8.183615165942597e-7,2.797300634219107e-9,1.5896232644314146e-9,4.303319289389706e-9
IfThenElse/ExMemory 100/ExMemory 2000,8.123679893198322e-7,8.100366447463516e-7,8.142719012519788e-7,7.197317542262556e-9,5.6452013951704844e-9,8.296449343276521e-9
IfThenElse/ExMemory 100/ExMemory 5000,8.116967121184727e-7,8.091006647471035e-7,8.138866999307359e-7,8.021014036346e-9,7.225359926919226e-9,8.926964317281474e-9
IfThenElse/ExMemory 100/ExMemory 10000,8.100337145309113e-7,8.077553850880788e-7,8.117605996758036e-7,6.954612080787468e-9,5.397899308176816e-9,8.070254355814704e-9
IfThenElse/ExMemory 100/ExMemory 20000,8.132865793064409e-7,8.115284539894238e-7,8.143243290325267e-7,4.64662461290138e-9,2.684990755660162e-9,6.8318442107766426e-9
IfThenElse/ExMemory 500/ExMemory 100,8.083418540744898e-7,8.060434001917541e-7,8.105080909578229e-7,8.011692931334079e-9,7.2969003367233405e-9,8.968988679592576e-9
IfThenElse/ExMemory 500/ExMemory 500,8.164474930654228e-7,8.152442273267789e-7,8.171456060228933e-7,3.0526378182999434e-9,1.9805206412059798e-9,5.247641294155235e-9
IfThenElse/ExMemory 500/ExMemory 1000,8.152029552281407e-7,8.14875288889773e-7,8.15472045693942e-7,1.0178166413434576e-9,8.103567473714349e-10,1.535467305971691e-9
IfThenElse/ExMemory 500/ExMemory 2000,8.156817907879801e-7,8.137897351287098e-7,8.163278422450331e-7,3.3586034250470106e-9,1.4164194886112808e-9,6.636760928965898e-9
IfThenElse/ExMemory 500/ExMemory 5000,8.021180383415493e-7,8.000586990969037e-7,8.045457317949781e-7,7.392405056726382e-9,6.205823089848813e-9,8.357107770272718e-9
IfThenElse/ExMemory 500/ExMemory 10000,8.051240532215089e-7,8.026945034246621e-7,8.074807600434389e-7,7.995870224582345e-9,7.365172816955618e-9,8.499679028419572e-9
IfThenElse/ExMemory 500/ExMemory 20000,8.061654767899583e-7,8.041460119271318e-7,8.084679575352302e-7,7.813412383182326e-9,7.3057136264264725e-9,8.543497989603115e-9
IfThenElse/ExMemory 1000/ExMemory 100,8.139583821648296e-7,8.121933455081176e-7,8.145890961937896e-7,3.238125706097099e-9,1.27841336595283e-9,6.286659406297035e-9
