# Plutus Core cost model benchmark results
# Started at 2025-11-04 18:09:42.189108 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
NegateValue/0,4.020324271401399e-7,4.0064359536804406e-7,4.0491365213413254e-7,6.4965858384462e-9,3.6860941661830998e-9,1.1321879971475982e-8
NegateValue/248,5.787340486507707e-6,5.752375476057607e-6,5.819355810918779e-6,1.1148337037597041e-7,9.502827628737296e-8,1.316546991013778e-7
NegateValue/135,3.061827252949832e-6,3.0458933914827827e-6,3.0765610926051684e-6,4.782059029282863e-8,4.1172169407500084e-8,5.578236835706784e-8
NegateValue/319,6.831710248121508e-6,6.778796411963713e-6,6.953147372244218e-6,2.4387188834362194e-7,1.2691309653342665e-7,4.311153568327752e-7
NegateValue/321,2.942787578023947e-6,2.8830737698879718e-6,3.0147616379936226e-6,2.1286353568902872e-7,1.8684860452264193e-7,2.4674589792816616e-7
NegateValue/158,4.047945278355122e-6,4.002611606084941e-6,4.16205469431588e-6,2.185676447844594e-7,6.501740188265103e-8,3.728459202395838e-7
NegateValue/42,7.97579033658737e-7,7.915457527748344e-7,8.051768688977454e-7,2.236631679284802e-8,1.8914330387596294e-8,2.697054570970137e-8
NegateValue/181,2.1036723279029176e-6,2.0978544739526243e-6,2.109121992308672e-6,1.845614234037321e-8,1.5334535293517323e-8,2.4481395909915548e-8
NegateValue/149,1.7862484097793458e-6,1.7744840168935886e-6,1.798048190642429e-6,3.885657422428213e-8,3.358026639006337e-8,4.591189379084724e-8
NegateValue/110,1.2576079613465235e-6,1.2517180224946325e-6,1.264092229289531e-6,2.0293414021527857e-8,1.752629916234785e-8,2.3011998918809732e-8
NegateValue/160,4.0468897307788756e-6,4.027466564245278e-6,4.0698132175538185e-6,7.137196431130797e-8,5.965415768819937e-8,8.774898138481576e-8
NegateValue/111,2.8879993415429517e-6,2.873963964773073e-6,2.90402429558194e-6,5.1063621084683285e-8,4.515517495747502e-8,6.106876278963107e-8
NegateValue/48,7.711265649055672e-7,7.674914046697834e-7,7.745845801797501e-7,1.1682664339035902e-8,9.817320158719938e-9,1.4361688865692846e-8
NegateValue/275,6.3452712939805855e-6,6.321209753173573e-6,6.368012385297656e-6,7.86848206476999e-8,6.626450660525749e-8,9.706762805908969e-8
NegateValue/345,3.691420881768497e-6,3.6680365491232753e-6,3.7124380993071325e-6,7.187205303301585e-8,5.383491188856755e-8,1.0087371069616381e-7
NegateValue/40,7.602449464147147e-7,7.57758947974031e-7,7.63565397319276e-7,9.469228904307405e-9,7.415217082412417e-9,1.3181754722111035e-8
NegateValue/78,2.1316665187085597e-6,2.1239877036781328e-6,2.141327825615539e-6,2.8652184440879484e-8,2.2397322451897023e-8,3.5311478077793754e-8
