# Plutus Core cost model benchmark results
# Started at 2025-12-11 19:58:37.039049641 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
ScaleValue/2/56702,7.1805595938238785e-3,6.24763409450125e-3,9.850492949106603e-3,4.074932448229503e-3,1.6382965140546782e-3,7.7274288586997e-3
ScaleValue/2/72257,8.412861847956145e-3,7.624712944074875e-3,1.0301864997860342e-2,3.138653348395986e-3,1.6544905106505299e-3,5.282238873676804e-3
ScaleValue/2/45506,5.217320868283259e-3,4.696337509411875e-3,6.493023871393281e-3,2.3503765115864385e-3,9.563740277850721e-4,4.0316134201589075e-3
ScaleValue/2/62864,7.3867280862946385e-3,6.711477105242721e-3,8.711626389675937e-3,2.8781041731974688e-3,1.4262596166244464e-3,4.476886690772478e-3
ScaleValue/2/63732,7.468635606267865e-3,6.736757230316659e-3,9.400512574691957e-3,3.0748979858844683e-3,1.3136170025257452e-3,5.600889814512089e-3
ScaleValue/2/90327,1.0835942185921698e-2,9.798795293271483e-3,1.3354244848322448e-2,3.973696853121188e-3,2.1172276718675635e-3,6.930687601084362e-3
ScaleValue/2/60422,6.7814142224087125e-3,6.198847611089923e-3,8.689409943213057e-3,2.39540100532119e-3,1.1937214040753988e-3,4.804488655895543e-3
ScaleValue/2/6434,2.3169451257676644e-4,2.3032797010076234e-4,2.3354465322777423e-4,5.038739717449556e-6,3.662211481344801e-6,7.218690044076268e-6
ScaleValue/2/54951,6.382489395603196e-3,5.740896424625016e-3,7.857503735518322e-3,2.763392953989066e-3,1.1156287213620053e-3,4.526057695947512e-3
ScaleValue/2/83174,9.811852713999637e-3,8.970935208529204e-3,1.1462105096096617e-2,3.3803456755689336e-3,1.5982223907721577e-3,5.063510144781037e-3
ScaleValue/2/93023,1.119170718115349e-2,1.00910434073249e-2,1.3368269801938375e-2,4.080791079327959e-3,2.185099726221401e-3,6.6359404278461065e-3
ScaleValue/2/8401,3.1241783413520096e-4,3.1177513361851797e-4,3.1296417659344814e-4,1.9175003869296714e-6,1.5736258443682637e-6,2.557288598023802e-6
ScaleValue/2/45119,5.218093396202765e-3,4.736992551592191e-3,6.485081322796026e-3,2.3543438679817785e-3,1.249759827924695e-3,4.190256342932402e-3
ScaleValue/2/76095,8.9939540704015e-3,8.072207037898065e-3,1.1070857361515482e-2,3.696779354611608e-3,1.960440307731856e-3,6.007363807349409e-3
ScaleValue/2/9093,3.463370229357279e-4,3.45949292975587e-4,3.466732500176309e-4,1.2246425461092588e-6,9.59481195410466e-7,1.6478910823075538e-6
ScaleValue/2/75655,8.941948855920165e-3,8.074583817658595e-3,1.0795959591988348e-2,3.4370059057640154e-3,1.5418051033686112e-3,5.194752933944219e-3
ScaleValue/2/39752,4.60664084119108e-3,4.144853009625691e-3,5.533977226447281e-3,2.086304472680819e-3,9.949590832116118e-4,3.3139079569613535e-3
ScaleValue/2/48029,5.121281051832131e-3,4.691005543353673e-3,6.089567352305305e-3,1.7489373990052706e-3,7.982622586312233e-5,3.1626483414221936e-3
ScaleValue/2/76807,8.840690805770804e-3,7.92034754087098e-3,1.0819958784306624e-2,3.5430926940606265e-3,1.308342022230265e-3,5.795210006234085e-3
ScaleValue/2/1413,4.156084581648882e-5,4.1548933115734e-5,4.1571111498039594e-5,3.9438354781246604e-8,3.1207639400798347e-8,5.4123770391321825e-8
ScaleValue/2/26114,1.8873692843824179e-3,1.763826859886705e-3,2.218705389462237e-3,5.837009972526595e-4,1.4078480470998433e-5,1.203968034987352e-3
ScaleValue/2/19211,7.157205494442753e-4,6.89638665459977e-4,7.460304828263087e-4,9.062295994141042e-5,7.616379483463036e-5,1.0757244122939458e-4
ScaleValue/2/96304,1.1140955864851674e-2,1.0075681129275626e-2,1.325398118584791e-2,3.906331626925598e-3,1.6902496822785327e-3,5.774313371991162e-3
ScaleValue/2/99827,1.1923647043532442e-2,1.0893092939232801e-2,1.4371054141640655e-2,3.962985402969538e-3,1.7920865053935248e-3,6.857289538869428e-3
ScaleValue/2/90455,1.0792586923300505e-2,9.824621129500674e-3,1.3026924152612052e-2,3.7719197083975957e-3,1.8286244008535628e-3,6.234769926501136e-3
ScaleValue/2/24383,1.5869457895312123e-3,1.535811986377564e-3,1.784440230911619e-3,3.21050698625353e-4,1.4366127517493558e-5,6.816769257522593e-4
ScaleValue/2/35559,3.6623673214288876e-3,3.2906403719502784e-3,4.615423361542344e-3,1.748968456879557e-3,8.213145724843437e-4,3.3760745610686388e-3
