# Plutus Core cost model benchmark results
# Started at 2025-12-12 12:22:55.327071269 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
ScaleValue/2/42459,5.31132617824715e-3,4.637218605022614e-3,6.818158292299046e-3,2.967267164284556e-3,1.2101547312799916e-3,5.944229666057797e-3
ScaleValue/2/53387,6.0049552140687655e-3,5.465729389628672e-3,7.155892148620739e-3,2.2259080660295347e-3,8.171682967718212e-4,3.5341568464999397e-3
ScaleValue/2/15582,6.776828527406348e-4,6.762846452850567e-4,6.788934254925638e-4,4.353032445453715e-6,3.5475090116605448e-6,5.279802689757531e-6
ScaleValue/2/2178,6.392091568318422e-5,6.376621137193809e-5,6.421223537532717e-5,6.941749713032713e-7,3.767303152455401e-7,1.2301616563243608e-6
ScaleValue/2/3846,1.1973741423948281e-4,1.1950819526866702e-4,1.2011679269590585e-4,9.20542138572841e-7,5.935390986162788e-7,1.5737235307865564e-6
ScaleValue/2/62662,7.41805374970989e-3,6.7204535391009e-3,8.875370603469676e-3,2.741469451725863e-3,1.3874093750023237e-3,4.326653839735877e-3
ScaleValue/2/74561,8.772523337463544e-3,8.035570813300214e-3,1.0647569195008658e-2,3.0478165970869338e-3,1.8615375249014482e-3,5.163763968791611e-3
ScaleValue/2/16714,7.546724118876295e-4,7.527921814567363e-4,7.576671671685289e-4,8.138101316991611e-6,4.9133821230518264e-6,1.435239771602275e-5
ScaleValue/2/78012,9.291409132102846e-3,8.50669486657107e-3,1.0713450885953395e-2,2.9669901613221814e-3,1.6848905376723893e-3,4.424192759562834e-3
ScaleValue/2/39394,4.548470805096051e-3,4.049335904826051e-3,5.67864340654836e-3,2.0541709772903113e-3,1.0552463891582626e-3,3.7829987400656117e-3
ScaleValue/2/9198,3.3967727690086333e-4,3.3892062744766033e-4,3.4130753024230097e-4,3.3609168625032183e-6,1.882990942670534e-6,6.120171222967227e-6
ScaleValue/2/23588,1.474376214962252e-3,1.4092092561132877e-3,1.670964631483986e-3,3.1164798132912345e-4,1.879403715647688e-5,6.477777964185203e-4
ScaleValue/2/40528,4.630960660454926e-3,4.1894438733419935e-3,5.739595336502841e-3,2.0361679175625955e-3,1.009821818717706e-3,3.497761926853377e-3
ScaleValue/2/71369,8.38711782323137e-3,7.636399739566003e-3,9.949863900155434e-3,2.9320036329460617e-3,1.5240665655833596e-3,4.789723367398426e-3
ScaleValue/2/24390,1.5866299121923624e-3,1.5048263559365141e-3,1.7814697873767295e-3,3.913436980111548e-4,2.0061432162861794e-5,7.654169159029752e-4
ScaleValue/2/54875,6.358829233548802e-3,5.757480310626871e-3,7.557407968602127e-3,2.4969704973785262e-3,1.4302001418151518e-3,3.933726947796173e-3
ScaleValue/2/69527,8.20476478914717e-3,7.489310862772518e-3,9.953417518602237e-3,2.953861531399555e-3,1.5514271636535917e-3,4.784794628574281e-3
ScaleValue/2/41749,4.832872206850179e-3,4.311496230741098e-3,5.902527133414361e-3,2.1634888649434553e-3,1.154494931841126e-3,3.704778764421372e-3
ScaleValue/2/35239,3.6038680016232246e-3,3.2527359366451404e-3,4.415718174545381e-3,1.5473478481360513e-3,8.143929608566186e-4,2.4455044864458383e-3
ScaleValue/2/30804,2.678816865438862e-3,2.4547552141165325e-3,3.371645781333465e-3,1.050462729841594e-3,5.485315321762148e-4,1.961390609677166e-3
ScaleValue/2/54605,6.381021021644779e-3,5.701594058229275e-3,7.43742364695882e-3,2.4513112798630714e-3,1.454430274025783e-3,3.766242987211206e-3
ScaleValue/2/2803,8.320181713336543e-5,8.311496718991092e-5,8.340985047245426e-5,4.16671403388322e-7,1.4687777068892875e-7,6.638291488032825e-7
ScaleValue/2/50592,5.7456648622363545e-3,5.2584443993516855e-3,6.962733880021604e-3,2.231529497078998e-3,9.81064040450728e-4,4.634483874659022e-3
ScaleValue/2/47049,5.48373994819301e-3,4.924891740260655e-3,6.547574013729034e-3,2.211824279448869e-3,1.323974481506056e-3,3.4996571477537135e-3
ScaleValue/2/64211,7.521994358559006e-3,6.860752950584708e-3,8.796300066390863e-3,2.6236535281986724e-3,1.6456519877557732e-3,4.181915204677036e-3
ScaleValue/2/20656,1.0766243971086673e-3,1.0727417130478197e-3,1.0804582369688977e-3,1.3346182258481626e-5,1.1118662086036438e-5,1.5579760063708136e-5
