# Plutus Core cost model benchmark results
# Started at 2025-12-09 14:50:29.282367995 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
UnionValue/371/615,3.100398598006483e-5,3.0973137329689724e-5,3.105841267650234e-5,1.41004849065586e-7,9.518508468161026e-8,2.3095927056302023e-7
UnionValue/354/429,2.4969399287086072e-5,2.4919358388336714e-5,2.508343635604679e-5,2.310779603207535e-7,1.2143374511415278e-7,4.5300166326132125e-7
UnionValue/73/673,1.7586305208364574e-5,1.754553530179237e-5,1.767905761876503e-5,1.975247099701332e-7,5.851418164356752e-8,3.7653058230372525e-7
UnionValue/474/586,3.3311438624567724e-5,3.327875865805774e-5,3.334725311183818e-5,1.137796966423755e-7,9.371986427147789e-8,1.3833160943619868e-7
UnionValue/224/534,2.203702640553733e-5,2.2018670850198988e-5,2.2064719377224284e-5,7.405470264605634e-8,5.56189756522842e-8,1.1026267190166216e-7
UnionValue/158/599,2.0307450937455474e-5,2.029331432228871e-5,2.032099662229444e-5,4.715277721135273e-8,3.951745742556009e-8,5.8055973297071324e-8
UnionValue/241/414,2.0101392994260262e-5,2.0081222462349462e-5,2.012028990530198e-5,6.628902410334765e-8,5.686846178718279e-8,7.892411517169086e-8
UnionValue/146/152,9.050692057714837e-6,9.04597837873631e-6,9.057170175286394e-6,1.8316607747458925e-8,1.370459785926969e-8,2.580610095947242e-8
UnionValue/559/696,4.066558253848746e-5,4.0627614476077614e-5,4.0729063047937716e-5,1.5952415749920933e-7,9.31095046985295e-8,2.689753198755959e-7
UnionValue/116/828,2.306677101471913e-5,2.304892820370717e-5,2.3098297096424747e-5,8.078384227896159e-8,4.441198748223432e-8,1.2623042886623876e-7
UnionValue/114/150,8.014641677463961e-6,8.00924637751045e-6,8.021427201208206e-6,2.13897229652641e-8,1.6844561194361644e-8,2.7413443714045536e-8
UnionValue/20/435,9.608674304444164e-6,9.595890175562095e-6,9.633680243021982e-6,5.698159081918371e-8,2.976431778314129e-8,8.999830513889688e-8
UnionValue/73/216,7.934189556883428e-6,7.924724885833287e-6,7.955419795558344e-6,4.4268125120746796e-8,2.236829910082819e-8,7.515526194365973e-8
UnionValue/38/589,1.3760219072214252e-5,1.3752478441363177e-5,1.3775123082974119e-5,3.529999101927571e-8,2.1323093008706164e-8,5.8704747960176145e-8
UnionValue/536/767,4.273056899861538e-5,4.252343070688581e-5,4.3169113532092784e-5,9.844293643047864e-7,5.044672265914749e-7,1.8205455009260112e-6
UnionValue/76/657,1.728519290765922e-5,1.7276450695485813e-5,1.730113847546376e-5,3.8417702236747414e-8,2.4417954478862148e-8,5.809729658370799e-8
UnionValue/226/532,2.2190898325111817e-5,2.2174763947799536e-5,2.221205811083596e-5,6.502315536900442e-8,5.1112681212918014e-8,9.623847108342047e-8
UnionValue/715/921,5.330059657066942e-5,5.3212307036568904e-5,5.3425281412516205e-5,3.4710386230658417e-7,2.580013573285205e-7,5.108865860424505e-7
UnionValue/174/398,1.6851742986535162e-5,1.6832310178203337e-5,1.688696234338022e-5,8.533991728025541e-8,5.498602151191532e-8,1.321406443422444e-7
UnionValue/409/609,3.241542070797869e-5,3.2386727234352997e-5,3.2459587507555445e-5,1.1409534525903453e-7,7.34373905382342e-8,1.9486371422691037e-7
UnionValue/58/212,7.312920062706677e-6,7.309531872001943e-6,7.320557011224106e-6,1.6271159362539278e-8,8.249728307413416e-9,2.972323916205223e-8
UnionValue/82/603,1.6346967112910045e-5,1.6271823628757126e-5,1.6627200612571123e-5,4.514950550742887e-7,4.284369024512273e-8,9.517287222606246e-7
UnionValue/692/793,4.74583815366067e-5,4.741209183246395e-5,4.756236315740073e-5,2.213778261147341e-7,1.2049124366029532e-7,3.9912414401151074e-7
