# Plutus Core cost model benchmark results
# Started at 2025-12-05 18:34:16.857246974 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
UnionValue/4460/4202,2.5065382276697476e-4,2.504853972753857e-4,2.5092434617700766e-4,6.765195464934837e-7,4.617803908695685e-7,1.1047169751239906e-6
UnionValue/313/167,1.2526329467246145e-5,1.2503890205264947e-5,1.2585519935410636e-5,1.0996471978242342e-7,5.314529567135019e-8,1.94815162272191e-7
UnionValue/1815/1778,8.913622874065091e-5,8.908007929395117e-5,8.921312900205806e-5,2.2204139667606292e-7,1.623483515492339e-7,3.1434144485125397e-7
UnionValue/2080/1490,1.0294266153554313e-4,1.0273146834504898e-4,1.0370419907278051e-4,1.183917351279418e-6,2.4724604852515355e-7,2.4357506847957128e-6
UnionValue/4994/10,2.859771312547462e-5,2.857669659397104e-5,2.8617868330594196e-5,7.17939972850145e-8,6.074587058652692e-8,8.71074943898633e-8
UnionValue/7012/646,1.4402377473815537e-4,1.4392557788472885e-4,1.4415298947166073e-4,3.836950646151765e-7,2.9018257085376085e-7,5.32188335753941e-7
UnionValue/14756/13159,1.0810085319562007e-3,1.079460740382503e-3,1.0825678608522929e-3,5.184727776775138e-6,4.2574376485794056e-6,6.7039518164599315e-6
UnionValue/22618/21235,2.095103804054019e-3,1.984850453604565e-3,2.3875657915709554e-3,5.394107907753477e-4,2.45615051348974e-4,1.0073966735473414e-3
UnionValue/23234/21382,2.190598027104529e-3,2.0833148450372495e-3,2.5627656800733195e-3,5.259160769937578e-4,2.0627098488111605e-5,1.055495833528353e-3
UnionValue/46314/40231,5.892631256476028e-3,5.4694996027945e-3,6.673525165741006e-3,1.7456197383907551e-3,1.0650774771788728e-3,2.51894442206969e-3
UnionValue/4606/2822,2.5244941900199295e-4,2.523035429333134e-4,2.5260603111685074e-4,4.904727819281941e-7,4.036987894886821e-7,6.551908024728681e-7
UnionValue/11622/7245,7.983069353761494e-4,7.964822268113417e-4,8.003595124846256e-4,6.840945739098253e-6,5.814762102386262e-6,7.95633238934878e-6
UnionValue/3670/1992,1.192049622288188e-4,1.1903899611401074e-4,1.1966717577790484e-4,8.503702575473616e-7,3.81298815697672e-7,1.6429301436285274e-6
UnionValue/24707/14813,2.1899905455529506e-3,2.0985873853028325e-3,2.393018930770147e-3,4.3838446548051123e-4,1.924702443648102e-4,8.158506775005544e-4
UnionValue/2961/660,9.106463956788365e-5,9.080255963064429e-5,9.223692856455769e-5,1.5495418130504778e-6,1.8988477172548097e-7,3.5315661386417172e-6
UnionValue/770/248,2.478738433903181e-5,2.4776160306092746e-5,2.4813257068521022e-5,5.1120501006037943e-8,3.3070817899788776e-8,8.985067963604959e-8
UnionValue/9576/2270,3.931831467301648e-4,3.927727684375634e-4,3.936242395648195e-4,1.3382854796368063e-6,1.1146267779620851e-6,1.6777181593881858e-6
UnionValue/13677/172,1.4477167080531182e-4,1.446106764375225e-4,1.4508606730885342e-4,7.333768859545235e-7,4.27024226373283e-7,1.1079104519560384e-6
UnionValue/2500/1326,7.572996563158051e-5,7.565592042972696e-5,7.591923967913857e-5,3.7437557945691445e-7,1.6880229020805117e-7,7.029310894636179e-7
