# Plutus Core cost model benchmark results
# Started at 2025-12-05 20:36:04.10222607 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
UnionValue/26127/48372,5.944989421430329e-4,5.941331474864079e-4,5.950366350283579e-4,1.5133001034136498e-6,1.031303910853141e-6,2.1570806799969497e-6
UnionValue/32024/13040,3.685336797014623e-4,3.6828823964002677e-4,3.6917015253238103e-4,1.2305032621298358e-6,5.576634249947337e-7,2.3554490392145696e-6
UnionValue/24706/3408,2.2785036190584935e-4,2.277076236478767e-4,2.2801256591359475e-4,5.006163867364228e-7,4.0746395781117336e-7,6.339606150672659e-7
UnionValue/15363/19822,2.5579732143185644e-4,2.556341847610803e-4,2.560342494289058e-4,6.412839332984114e-7,4.6308266958567504e-7,1.0863399797914627e-6
UnionValue/17379/32025,4.0464187747092265e-4,4.0406036914890814e-4,4.0664657246259294e-4,3.134647224960865e-6,1.2538310845044702e-6,6.111509418399124e-6
UnionValue/9999/3810,1.0841936365628788e-4,1.083389831066477e-4,1.0859568554247415e-4,3.5259939290940383e-7,2.0198983837528797e-7,6.155302822500708e-7
UnionValue/17793/9523,2.1096915894156442e-4,2.1056511134601483e-4,2.1133614064594127e-4,1.2844885305474332e-6,1.1503331875809683e-6,1.422461555021323e-6
UnionValue/16496/3921,1.583486561514062e-4,1.582616434538323e-4,1.5846491950160033e-4,3.3307814518636203e-7,2.497393259333477e-7,4.77919105353677e-7
UnionValue/12352/4849,1.32466129987906e-4,1.3230333528150228e-4,1.328552843033935e-4,7.953516191292185e-7,3.674625603418538e-7,1.3838072495082726e-6
UnionValue/18767/34998,4.3070104123559954e-4,4.3045354788121074e-4,4.311160460855341e-4,1.0982735891756928e-6,7.698457946922541e-7,1.6865132682406128e-6
UnionValue/1121/10824,9.315183908388507e-5,9.304364907171837e-5,9.331289997017736e-5,4.237732158525311e-7,2.62038652240746e-7,7.164635036977712e-7
UnionValue/27594/11861,2.8932996134169723e-4,2.890215409583219e-4,2.9052237622337795e-4,1.6957045696576708e-6,6.610733511714667e-7,3.5564745116428507e-6
UnionValue/31210/26836,4.546054793690007e-4,4.540748603527251e-4,4.5658769149516923e-4,2.991958854416581e-6,1.3372424500748713e-6,6.1680745278360265e-6
UnionValue/7256/21198,2.3198517677022499e-4,2.3180525312820925e-4,2.3231232366010415e-4,7.964806532979116e-7,5.809658172157694e-7,1.247381173589223e-6
UnionValue/2313/5681,6.172443118825225e-5,6.167655351519372e-5,6.180736818872881e-5,2.1116356992654054e-7,1.2877684916476082e-7,3.6603279884989014e-7
UnionValue/4232/16518,1.5497802389235e-4,1.548012480600093e-4,1.5551587577168987e-4,9.78894473660353e-7,3.060096176510119e-7,1.9296439980750406e-6
UnionValue/171/5357,4.1655706591548117e-5,4.1628394894298266e-5,4.170509964552986e-5,1.1683143389728357e-7,7.181692782514149e-8,1.8771092972027284e-7
UnionValue/12651/40907,4.297128762724491e-4,4.29516277834003e-4,4.299811770098893e-4,7.484347444227706e-7,5.984615724256973e-7,1.022510550483656e-6
UnionValue/13856/31043,3.493544195394329e-4,3.4904592541636184e-4,3.500094988418135e-4,1.4396253639677527e-6,6.072691587801612e-7,2.912834803024199e-6
UnionValue/6816/3123,7.369360037423644e-5,7.367343421191711e-5,7.371979053320796e-5,7.523572679303741e-8,5.8054590224586506e-8,1.0062410139590306e-7
