# Plutus Core cost model benchmark results
# Started at 2025-12-12 13:34:35.780221058 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
UnionValue/27748/40813,8.707165173149518e-3,8.162399856502918e-3,1.018962061673526e-2,2.334668144979816e-3,1.0781740924751349e-3,4.515253620938823e-3
UnionValue/6074/7883,6.898680657418668e-4,6.798848863125891e-4,7.042641679177855e-4,3.8255045963200984e-5,3.26839210458812e-5,4.482688233024417e-5
UnionValue/9635/33176,4.250222251023072e-3,4.070421532838934e-3,4.747743911378474e-3,8.597979663252731e-4,4.385271014459449e-4,1.4908819725786837e-3
UnionValue/1254/15436,8.362623049600763e-4,8.343892129685953e-4,8.413856387504345e-4,9.346782463343865e-6,4.9204779096404195e-6,1.7132340925022728e-5
UnionValue/18522/27745,5.078501559134399e-3,4.817352111699559e-3,5.866857510373233e-3,1.2363592622747887e-3,5.332768437961156e-4,2.4272374602045967e-3
UnionValue/15356/49986,8.468154322776776e-3,7.93346462587185e-3,9.351543694643923e-3,1.840032770358648e-3,1.1109492905354969e-3,2.6811331150512255e-3
UnionValue/13645/14453,2.7220910358932496e-3,2.55418903257263e-3,3.1177437382642146e-3,7.673735146669665e-4,3.837310862336633e-4,1.3532675862967666e-3
UnionValue/34195/39436,8.848240585347425e-3,8.338819789225621e-3,9.768944749346652e-3,1.8641042605425228e-3,1.0978002915461517e-3,2.872178260860026e-3
UnionValue/35375/39652,8.921017459772905e-3,8.422717912889526e-3,1.0016870183780606e-2,1.9226547922150455e-3,1.265135467789893e-3,2.8435530827747363e-3
UnionValue/8496/13050,1.7815937063286704e-3,1.7210512027084005e-3,2.05056407785754e-3,2.9611442303587536e-4,1.13653651364894e-5,6.661703176358801e-4
UnionValue/1277/16273,8.778775727874367e-4,8.738750739845532e-4,8.814804034846765e-4,1.2894834292487626e-5,1.0455342511967379e-5,1.5748028623037343e-5
UnionValue/3281/3571,3.287665314908343e-4,3.268212111980202e-4,3.310023449196477e-4,7.170212345174554e-6,5.0061994548204416e-6,1.1902989026430737e-5
UnionValue/18131/31605,5.451210472641844e-3,5.194833681178615e-3,6.0873841915955185e-3,1.1461258484860752e-3,6.347502801598678e-4,1.9964915653380533e-3
UnionValue/25929/44310,8.628580586787525e-3,8.223250364512848e-3,9.253556276849708e-3,1.3943894055289735e-3,7.729885129396903e-4,2.0361802882722744e-3
UnionValue/766/5827,2.707870492243076e-4,2.7060320751994417e-4,2.710481559635554e-4,7.402484311863954e-7,5.583054574276272e-7,1.0217444467432727e-6
UnionValue/16859/36983,6.09700298350052e-3,5.796779480306874e-3,6.673998836230366e-3,1.21822679157579e-3,6.504899905331412e-4,1.9692815019191345e-3
UnionValue/8349/49107,6.65168155823435e-3,6.280852307333523e-3,7.321494189355353e-3,1.4263582043966979e-3,9.102817494669478e-4,2.1493749624098375e-3
UnionValue/22829/45147,8.714851205020758e-3,8.21709465875769e-3,9.647853604374973e-3,1.774110625943693e-3,1.0424546056447285e-3,2.843820095756175e-3
UnionValue/25760/31889,6.355676395603531e-3,6.012733042822984e-3,7.006351285014172e-3,1.3577815609631797e-3,7.980688146832746e-4,2.0811009261873436e-3
UnionValue/10490/12996,2.101604657014578e-3,2.0063598327198285e-3,2.362470564689833e-3,4.977552441057251e-4,1.8882425130836288e-4,1.0324146549852671e-3
UnionValue/4410/42106,4.195852298606989e-3,3.987968924433774e-3,4.724129264932261e-3,9.859931508398568e-4,5.386693239542101e-4,1.7238052039691039e-3
UnionValue/27042/29197,6.0514843721460035e-3,5.701811561431707e-3,6.843890411621082e-3,1.4232059000565014e-3,8.745366781257688e-4,2.566906111126379e-3
UnionValue/26921/33449,6.7344971466116385e-3,6.374875246434191e-3,7.573044952614924e-3,1.4561193102504103e-3,9.291457365512068e-4,2.325301451322809e-3
UnionValue/574/7305,3.184950984955535e-4,3.170506184161532e-4,3.240064329836216e-4,8.459385667801953e-6,8.993000025859628e-7,1.763835212915547e-5
UnionValue/21816/39640,7.513278150152373e-3,7.111006705084886e-3,8.222377379886209e-3,1.4749312215841652e-3,9.118998383350538e-4,2.131100811783926e-3
UnionValue/506/3527,1.5256861680642688e-4,1.524880872289127e-4,1.526871159403025e-4,3.171283056477839e-7,2.3033343377808866e-7,4.406757636508419e-7
UnionValue/18855/26373,4.7584764587964385e-3,4.50153810685443e-3,5.300279310701643e-3,1.0401936852238395e-3,5.20297793793233e-4,1.8554469464638124e-3
UnionValue/7350/22487,2.6646347948788957e-3,2.571941427342731e-3,2.8722653145175935e-3,4.460563979320824e-4,2.1971859408605998e-4,7.499129753023471e-4
UnionValue/16735/25799,4.301021521750195e-3,4.097081142873351e-3,4.797830468731697e-3,9.202925802117976e-4,4.7446372734956334e-4,1.5784397050955755e-3
UnionValue/15278/42684,7.212851242162208e-3,6.760584791924075e-3,8.224491595561554e-3,1.68169440995869e-3,9.832428052963568e-4,2.9053239210263698e-3
