# Plutus Core cost model benchmark results
# Started at 2025-12-10 16:46:27.457823265 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
UnionValue/7559/24525,2.897852677613398e-3,2.833302132353303e-3,3.014430205258749e-3,2.902969830315306e-4,1.7167028693979692e-4,5.118011487493844e-4
UnionValue/18865/34938,5.726599933865745e-3,5.536550061732764e-3,6.025162774332385e-3,7.025742371681747e-4,4.893908924955522e-4,1.128651131839416e-3
UnionValue/837/46968,4.316768901822256e-3,4.182385856843397e-3,4.543299722164197e-3,5.262692952157946e-4,3.630975614193487e-4,9.183509524660341e-4
UnionValue/3303/10402,8.071274025428381e-4,8.057417490398328e-4,8.088263473362546e-4,5.110414947607766e-6,3.9392772466761495e-6,6.6192208931370825e-6
UnionValue/1484/26177,1.6336473610292618e-3,1.616414204628062e-3,1.6654615708188414e-3,7.44256101539113e-5,4.4355806068385e-5,1.1560269935574489e-4
UnionValue/27774/42832,8.247874637779581e-3,7.982956797206344e-3,8.579800575077227e-3,7.785774934749426e-4,5.962423460370283e-4,1.088990434163279e-3
UnionValue/13189/44034,6.5833665165245005e-3,6.370678963436347e-3,6.8729840643629355e-3,6.781931145622062e-4,5.356756002355668e-4,9.164187387977178e-4
UnionValue/2738/7138,5.381280637999485e-4,5.371577861690793e-4,5.397047897102261e-4,4.137420980393011e-6,2.4545819801279147e-6,7.486299227068454e-6
UnionValue/7586/17023,1.9627680591666674e-3,1.9228132502727296e-3,2.035055062412254e-3,1.7225381516495922e-4,1.098153267149996e-4,2.6185213014493126e-4
UnionValue/13875/41056,6.0947881615897054e-3,5.933804011193036e-3,6.361456179459212e-3,5.74219372750681e-4,4.5953693359094454e-4,8.117392217685587e-4
UnionValue/18207/23350,3.7878347615632993e-3,3.6873965245109476e-3,3.978618841476313e-3,4.312221772972067e-4,3.0906190216996283e-4,6.212212139399756e-4
UnionValue/11374/44144,6.347804322025111e-3,6.1652546435927635e-3,6.603635664729887e-3,6.419958239073872e-4,4.273010386459015e-4,9.056131801670244e-4
UnionValue/547/618,3.6359768951354754e-5,3.634181429027864e-5,3.6381962657027277e-5,7.002538455512935e-8,5.567223634973577e-8,9.075131457827252e-8
UnionValue/9996/19829,2.637906770628655e-3,2.5705077616850415e-3,2.7371522212241025e-3,2.666108266344221e-4,1.9334989157460805e-4,4.112378402152495e-4
UnionValue/24565/45898,8.925711925025677e-3,8.656522181802144e-3,9.20909852316807e-3,7.710349172658877e-4,6.257658423698616e-4,9.805088245826794e-4
UnionValue/36071/36576,7.2716918611197e-3,7.082806694602709e-3,7.489034204989621e-3,5.981756770622427e-4,4.919535660620584e-4,8.19077899296668e-4
UnionValue/1240/22817,1.3381132912466565e-3,1.3305679375895318e-3,1.3543200196130254e-3,3.5391643076181255e-5,9.131790032587975e-6,5.9223892902285596e-5
UnionValue/5778/7644,7.341210629166012e-4,7.328785788919445e-4,7.355078971538546e-4,4.3716392961382544e-6,3.3546480280289026e-6,6.238994761540732e-6
UnionValue/682/33584,2.257162332414383e-3,2.2065050651295173e-3,2.3456438074188663e-3,2.0901121312404976e-4,1.4991968085010008e-4,3.215834180101349e-4
UnionValue/780/1063,7.067933804940344e-5,7.023011444427693e-5,7.111968963329221e-5,1.4962741757514055e-6,1.3413687566426985e-6,1.7232522274308847e-6
UnionValue/2750/7997,5.969682354895597e-4,5.962105428487748e-4,5.979142078361387e-4,2.86285004583197e-6,2.1943468232352694e-6,4.224085473570163e-6
UnionValue/10122/48232,6.9001932227475285e-3,6.723072337676776e-3,7.1074248088057205e-3,5.6111910455268e-4,4.428227143838989e-4,7.46764653758402e-4
UnionValue/10221/38896,5.491414899313032e-3,5.348593658110921e-3,5.669120960217396e-3,4.529101129546155e-4,3.587707665891375e-4,6.286241518665875e-4
UnionValue/14205/15896,2.607966234163088e-3,2.5546739792320352e-3,2.7128002674843407e-3,2.497930213589087e-4,1.6143406290537995e-4,4.2906891421865104e-4
UnionValue/37714/38202,7.916004422632421e-3,7.729914542753993e-3,8.104334369778058e-3,5.276748557546943e-4,4.214173921188297e-4,7.448248110994073e-4
UnionValue/52/1478,4.410134380872464e-5,4.401553051772832e-5,4.432765920193852e-5,4.2514778106210913e-7,2.0696793289447613e-7,8.223500248460998e-7
UnionValue/1426/39879,3.365781364606456e-3,3.293783911397679e-3,3.457174633760638e-3,2.552291580852001e-4,2.0017874669236174e-4,3.4504368227122255e-4
UnionValue/13384/36396,5.364243781291796e-3,5.2605753561719e-3,5.526839863649388e-3,3.8476270607641476e-4,2.6026382252514543e-4,5.627438083234162e-4
UnionValue/30304/33920,6.590030933510589e-3,6.468455113636875e-3,6.764771964271714e-3,4.3349697331564467e-4,3.1522279787684677e-4,6.210714034131916e-4
UnionValue/9349/27721,3.438577983048723e-3,3.3714144742499766e-3,3.5316434791900185e-3,2.46277594109005e-4,1.8613470862738343e-4,3.3763842064997283e-4
UnionValue/1631/1978,1.4704765484930708e-4,1.4681719222508748e-4,1.4754859587443416e-4,1.0453531934513859e-6,5.893269139579384e-7,1.8816737729850246e-6
UnionValue/27037/46971,9.366452670920717e-3,9.161345511289184e-3,9.528005989165944e-3,4.956341913009291e-4,3.5494362962606963e-4,6.814577685906038e-4
UnionValue/18571/37051,6.187470103870522e-3,6.06612061304423e-3,6.318917461495956e-3,3.6224956544441035e-4,2.620476625037253e-4,4.838202615780405e-4
UnionValue/11409/12493,1.776159817678357e-3,1.7478614687858943e-3,1.8080163266999889e-3,1.0400457903173799e-4,8.56637543012943e-5,1.329257510386126e-4
UnionValue/1298/14995,8.548637405223673e-4,8.529501172558476e-4,8.587828016581836e-4,9.063626553083228e-6,4.87779594941879e-6,1.5287499122654477e-5
UnionValue/6310/7470,7.329846151949491e-4,7.312224002423925e-4,7.35647584666433e-4,7.474774504638536e-6,5.487144719023566e-6,1.1291820981412204e-5
UnionValue/3728/25962,2.157261396283542e-3,2.1280504684156967e-3,2.199291914856716e-3,1.1866187927754408e-4,8.759770012734161e-5,1.7389513903977413e-4
UnionValue/287/2117,8.522490096851676e-5,8.481694305716629e-5,8.647032850513845e-5,2.0969967984471284e-6,4.910988337796648e-7,4.1320674038726e-6
UnionValue/18010/32109,5.176667838179487e-3,5.091501099321443e-3,5.284363862096746e-3,2.809960995966351e-4,2.0014259179866863e-4,4.177784049921723e-4
UnionValue/3722/13768,1.0775848525939116e-3,1.073590265664685e-3,1.0846884708731585e-3,1.824720357875108e-5,1.2096549581843678e-5,2.8398775810018368e-5
UnionValue/8087/33107,3.9028029489206924e-3,3.854820868806405e-3,3.959647689847759e-3,1.6736281703206863e-4,1.2496654068088983e-4,2.2553627332984953e-4
UnionValue/4172/11837,1.026488862337433e-3,1.0155926980489989e-3,1.0397579162389177e-3,4.074826906492728e-5,3.302056590262755e-5,4.971568028806729e-5
UnionValue/1/7228,2.5843989681481724e-4,2.577586115606062e-4,2.594291808461709e-4,2.6461789863317497e-6,1.9089086089207917e-6,3.630151102578393e-6
UnionValue/35597/39640,8.498365450373298e-3,8.374386761398534e-3,8.668071557669143e-3,3.914092636881836e-4,2.690516945741051e-4,5.455741628624408e-4
UnionValue/40298/47260,1.1135877601047263e-2,1.091166259479928e-2,1.1398812644876079e-2,6.566799471081759e-4,5.206943667331876e-4,8.061824689417687e-4
UnionValue/388/988,5.204368068867534e-5,5.1953307797505794e-5,5.226663313404222e-5,4.440895032885231e-7,2.1612233981971666e-7,7.361191326885762e-7
UnionValue/14480/29476,4.386260036878844e-3,4.3492273930102986e-3,4.433942525414508e-3,1.2790949871530622e-4,8.079080042461445e-5,2.0393322266305092e-4
UnionValue/30581/45776,1.0015472251633161e-2,9.900869634293137e-3,1.01365128387122e-2,3.195794124018149e-4,2.560985027814546e-4,4.201068750134009e-4
UnionValue/2419/7157,5.065282509858011e-4,5.053558940714983e-4,5.091262278368555e-4,5.633121779200736e-6,2.312659725767801e-6,1.0035532645808485e-5
