# Plutus Core cost model benchmark results
# Started at 2025-12-10 18:01:28.430886125 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
UnionValue/40381/48774,1.092892735636128e-2,1.0385209094265258e-2,1.1798541417616852e-2,1.7929165051156824e-3,1.2734027306974393e-3,2.7314587820992126e-3
UnionValue/20302/32059,5.310436747718033e-3,5.100754610930015e-3,5.758380710710574e-3,8.396451458225943e-4,5.477531491236517e-4,1.2555041506884842e-3
UnionValue/8233/30176,3.5103957721018767e-3,3.3892255070093694e-3,3.8066067507049103e-3,5.830024719679422e-4,3.233076353885578e-4,1.0324974042318252e-3
UnionValue/18056/47154,8.243916857164909e-3,7.851833096572971e-3,8.861401383751183e-3,1.3410230536027772e-3,9.457359762187735e-4,1.9046757675475153e-3
UnionValue/3204/14412,1.0872205269245882e-3,1.083637405546794e-3,1.0925760222385702e-3,1.4176828495513032e-5,1.0913138529883459e-5,1.8349827538762986e-5
UnionValue/3447/9809,7.749049594189077e-4,7.737589286557205e-4,7.765935590715876e-4,4.822235434303827e-6,3.144939217225527e-6,8.237867013802377e-6
UnionValue/5189/36442,3.6686926036026816e-3,3.5489144896663576e-3,3.8547853665924503e-3,4.678432421885857e-4,2.953893526291329e-4,7.011524693902012e-4
UnionValue/18224/19880,3.3455426865143544e-3,3.199765027157129e-3,3.652163518322028e-3,6.780047832131118e-4,3.982392242678121e-4,1.1919197281767483e-3
UnionValue/19824/24599,3.956264839037602e-3,3.793468865917213e-3,4.269361302192142e-3,6.781902206976955e-4,4.423286666470745e-4,1.1166195406223096e-3
UnionValue/32471/36840,7.1772356517403844e-3,6.86172212345289e-3,7.721543998151858e-3,1.1013838869452436e-3,7.435046013405859e-4,1.7868925207667303e-3
UnionValue/7082/11764,1.3125490425806036e-3,1.292333025332273e-3,1.3695512782027613e-3,9.965698942842656e-5,9.266270468061416e-6,1.9544262451418648e-4
UnionValue/4135/36469,3.461430991363076e-3,3.3587495897232813e-3,3.6252580695034717e-3,4.090618033335214e-4,2.448682727669073e-4,5.867327592865721e-4
UnionValue/1061/3374,1.9087266026286158e-4,1.9069039108305776e-4,1.9105659941570446e-4,6.254370165276387e-7,4.6706681881505116e-7,9.016050583058408e-7
UnionValue/33667/45254,9.420661173911719e-3,9.036093264099408e-3,9.994937145365104e-3,1.2982413843859249e-3,8.999471152840514e-4,2.043548775904584e-3
UnionValue/3732/12115,8.925496336778573e-4,8.715254059636264e-4,9.116812298165042e-4,6.656578989740631e-5,5.943597696258504e-5,7.38825903371546e-5
UnionValue/7548/32157,3.6345425769628474e-3,3.503303570184715e-3,3.8599051119178373e-3,5.133501334256981e-4,3.172109065764856e-4,7.930795221887282e-4
UnionValue/1096/11495,6.2745595189618e-4,6.258289819292476e-4,6.349346917852188e-4,9.363027695646806e-6,2.146222452069762e-6,2.0804280697204083e-5
UnionValue/10033/16883,2.277771692536527e-3,2.2121703519830194e-3,2.4374040456512786e-3,3.260141966807562e-4,1.9907353643895887e-4,5.498029598423962e-4
UnionValue/30206/37296,7.232630653049572e-3,6.913093113836875e-3,7.672278273980618e-3,1.0677215951408246e-3,7.8285753885009e-4,1.6055882388270179e-3
UnionValue/485/16418,8.206231071147498e-4,8.196261338414072e-4,8.21766930101869e-4,3.7814143230034634e-6,2.9432651309312913e-6,5.5673328626448005e-6
UnionValue/4752/27278,2.5307950641300695e-3,2.462130743910732e-3,2.663864843265344e-3,3.2856529899155613e-4,1.6741536951019395e-4,5.548443433888467e-4
UnionValue/1206/1369,9.717494328758303e-5,9.711935827831304e-5,9.724049383045272e-5,1.9432023158401066e-7,1.5634313200485298e-7,2.685068756756304e-7
UnionValue/3285/34404,3.0365688972667894e-3,2.9479190851639156e-3,3.20539185510315e-3,3.723496366242436e-4,2.4432513506487415e-4,5.675127366191225e-4
UnionValue/19675/40556,6.822988625753253e-3,6.533720106181213e-3,7.210057433268486e-3,9.428808166722284e-4,6.721883812185363e-4,1.3914523020703894e-3
UnionValue/20980/28243,4.729306560557166e-3,4.572096550609626e-3,5.0154107753464005e-3,6.847646944369711e-4,4.8187891336682036e-4,1.0159823397515172e-3
UnionValue/7227/10206,1.1298843833998067e-3,1.1182792876088495e-3,1.163907819027515e-3,6.031193274849325e-5,2.7737051438247978e-5,1.1192197342016767e-4
UnionValue/5837/22112,2.189092318042223e-3,2.1411579413093997e-3,2.3066558541624538e-3,2.3480369954881217e-4,1.1518892749354127e-4,4.374189144197699e-4
UnionValue/12996/38447,5.45546215122797e-3,5.25804806703969e-3,5.807789249113089e-3,7.500990435583644e-4,5.054240413626814e-4,1.0950165345938135e-3
UnionValue/2134/20957,1.392229417063523e-3,1.3855892605273204e-3,1.4166457086655171e-3,3.918007705779985e-5,7.248530269451757e-6,8.136294927920674e-5
UnionValue/286/939,3.609348959554062e-5,3.606551068797286e-5,3.6180634006570946e-5,1.5396841015960837e-7,5.789232041616123e-8,3.28255343275763e-7
UnionValue/5143/34392,3.4693190927643567e-3,3.3497634076129204e-3,3.7086920010031394e-3,5.225802204257277e-4,3.360659833746338e-4,8.693136790296715e-4
UnionValue/10007/31842,4.017839874339795e-3,3.88665653871642e-3,4.259906328844043e-3,5.554468275240304e-4,3.599626774308703e-4,9.288593834687777e-4
UnionValue/6628/33132,3.604287313946366e-3,3.480696618362015e-3,3.8027618987255605e-3,5.096742729275046e-4,3.396181763589597e-4,7.69135707419836e-4
UnionValue/19625/43575,7.664384984358525e-3,7.380704228730455e-3,8.186237467415852e-3,1.0732952794956536e-3,7.778236426230383e-4,1.624542264074792e-3
UnionValue/30399/37085,7.181880364547762e-3,6.908403600983389e-3,7.570606149383935e-3,9.279487750770761e-4,6.940344013672606e-4,1.2435994728599623e-3
UnionValue/8817/22482,2.8764716001626104e-3,2.787751041389873e-3,3.0758509755952333e-3,4.125078168554086e-4,2.457843489879453e-4,6.949194662160483e-4
UnionValue/12094/48901,7.626597061876999e-3,7.320672306690349e-3,8.147909896452636e-3,1.0860815083320215e-3,8.312013537612829e-4,1.6067293747454023e-3
UnionValue/1233/10032,5.630842384845963e-4,5.626508215347199e-4,5.635295865558836e-4,1.4841918275614497e-6,1.2033734426066314e-6,1.9011529925029053e-6
UnionValue/4464/18365,1.6011166648777734e-3,1.5883320870532342e-3,1.6293739804600553e-3,5.7160779811280716e-5,2.164802655774694e-5,1.031518361736008e-4
UnionValue/26326/48855,9.589870740946289e-3,9.212992920000492e-3,1.0042177009583453e-2,1.0819468399746238e-3,8.734911352364451e-4,1.381029251724235e-3
UnionValue/465/19211,1.0009791272200857e-3,9.958069440599623e-4,1.0074799136958771e-3,1.9637587835993388e-5,1.5233720541668994e-5,2.373402855462151e-5
UnionValue/19853/22281,3.7118877872492468e-3,3.599377791432491e-3,3.9005541415899955e-3,4.4103146775542113e-4,2.9896009167981264e-4,6.787270169346986e-4
