# Plutus Core cost model benchmark results
# Started at 2025-12-10 18:31:27.924637669 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
UnionValue/18296/34645,5.599892575251069e-3,5.312225381095619e-3,6.266207967444859e-3,1.2778611545532612e-3,6.190980878626024e-4,2.186564419999966e-3
UnionValue/10569/24358,3.171769930227314e-3,3.061725784725676e-3,3.398192209116907e-3,4.7165602436528695e-4,2.7613736998417397e-4,8.028961881269227e-4
UnionValue/10738/17811,2.4636544695617194e-3,2.379824474211808e-3,2.65646762861052e-3,4.157652332587803e-4,2.5877747381307067e-4,6.964826980066563e-4
UnionValue/26959/39612,7.531203886971167e-3,7.209557388306164e-3,8.018227994060122e-3,1.099771109085688e-3,8.137976860984013e-4,1.5654344031260396e-3
UnionValue/9086/45135,6.045576515427634e-3,5.755474950213333e-3,6.537838767050539e-3,1.072841921965693e-3,7.000685879471878e-4,1.6425065099691398e-3
UnionValue/10570/15640,2.136976846919914e-3,2.0685827384249907e-3,2.2872830901236557e-3,3.303220710189307e-4,1.9888417175854633e-4,5.471028314970358e-4
UnionValue/51/555,1.3980232520583591e-5,1.3973791121912245e-5,1.3996101977551257e-5,3.087172472083493e-8,1.2876120807747745e-8,5.966601539754905e-8
UnionValue/2948/31894,2.582071046854091e-3,2.501204908541129e-3,2.7868598828278157e-3,3.913563281283851e-4,1.866625022615302e-4,7.244429776889632e-4
UnionValue/8499/44996,5.873885615226879e-3,5.614617564828183e-3,6.265917722140955e-3,9.333644433983186e-4,6.672414209699638e-4,1.3954701958680189e-3
UnionValue/3476/20175,1.542090698489975e-3,1.5291415166050005e-3,1.5910945260332527e-3,7.375803595071043e-5,2.5704593215875466e-5,1.601023430423583e-4
UnionValue/6705/15632,1.6763268560110497e-3,1.643518329306036e-3,1.7482957512609276e-3,1.606001119458115e-4,8.710882107364952e-5,2.838448025185207e-4
UnionValue/19382/20993,3.5043632776642886e-3,3.358529376522686e-3,3.751556984073377e-3,6.019732797616714e-4,4.1332491032112747e-4,8.834177801926535e-4
UnionValue/30768/31089,5.761904009033743e-3,5.487907872199212e-3,6.1597334720918774e-3,9.466770418574983e-4,6.458871230045754e-4,1.384426253025995e-3
UnionValue/2090/4570,3.1784552213595695e-4,3.175632010530664e-4,3.181951506552272e-4,1.0113811727582307e-6,7.188344696383455e-7,1.5960951146273724e-6
UnionValue/8888/13909,1.7146146014175082e-3,1.6795090039706355e-3,1.8388760803756446e-3,1.9821003954671368e-4,9.682118726676563e-5,3.9614377807424734e-4
UnionValue/2621/2635,2.073224026945756e-4,2.0718296553942482e-4,2.0754292668342418e-4,5.86219267956728e-7,3.9067926905614436e-7,9.518298901473451e-7
UnionValue/31091/34284,6.51377225436992e-3,6.2349109275928495e-3,6.891051921591297e-3,9.578915249264711e-4,7.076133794541354e-4,1.3578842036888463e-3
UnionValue/16102/26080,3.977249024859824e-3,3.832880611440147e-3,4.286656643827421e-3,6.049598689948895e-4,4.1278988383754313e-4,9.894605333061913e-4
UnionValue/32781/35626,6.938262402309638e-3,6.6545864861264695e-3,7.381868403070837e-3,1.0212290417605633e-3,7.387392652674111e-4,1.5428867504889907e-3
