# Plutus Core cost model benchmark results
# Started at 2025-12-10 17:40:16.75625948 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
UnionValue/17446/34001,5.570393893296972e-3,5.2662514553917655e-3,6.318218079048187e-3,1.2630472936869734e-3,6.052627334868096e-4,2.3185723212309677e-3
UnionValue/8585/25014,2.98817372112768e-3,2.893782315452085e-3,3.1757211909534573e-3,4.2132896008468493e-4,2.2947552833283482e-4,6.864449128396139e-4
UnionValue/8156/12157,1.430528406385049e-3,1.39918079741516e-3,1.5183171838545307e-3,1.479788021748807e-4,8.999639082246284e-6,2.940597998079357e-4
UnionValue/11016/18531,2.6061543998984376e-3,2.5106285296685417e-3,2.7972532608925784e-3,4.2615735652362213e-4,2.52137290734893e-4,7.11519113327121e-4
UnionValue/28396/29592,5.429099712636978e-3,5.156260506640801e-3,5.844586920813179e-3,9.746249481505624e-4,6.37776228521919e-4,1.5658294151412772e-3
UnionValue/16686/23321,3.8003660717087925e-3,3.6469296211565187e-3,4.121461716938555e-3,6.7344708300033e-4,4.168156021722865e-4,1.0837832675533595e-3
UnionValue/2209/26713,1.8876471793781706e-3,1.8536582570323978e-3,1.9981212024025525e-3,1.646633294539199e-4,2.2916186650534433e-5,3.328281060672618e-4
UnionValue/2100/7368,4.852770498997383e-4,4.8472557565925505e-4,4.8597018798007103e-4,2.0718876855567536e-6,1.6100640304773213e-6,2.947568297810467e-6
UnionValue/16554/20232,3.1897508634503046e-3,3.0852698601411235e-3,3.362811708171296e-3,4.349063160317696e-4,2.7850533048682916e-4,7.343683000790951e-4
UnionValue/32211/34941,6.823700365946084e-3,6.512826627644267e-3,7.295844633920057e-3,1.103958739234642e-3,7.612129500764338e-4,1.6145992425304872e-3
UnionValue/652/1080,6.727005167535715e-5,6.714134177395548e-5,6.753078182477026e-5,5.791478738014516e-7,2.6013318648894834e-7,1.0080747095576708e-6
UnionValue/17039/21113,3.414564722026392e-3,3.2723779982118846e-3,3.6888480828735416e-3,6.042060165596922e-4,3.564616847063191e-4,9.30934873099438e-4
UnionValue/827/6266,3.124785314120364e-4,3.121790438544139e-4,3.128824841921456e-4,1.154347757838836e-6,8.445156762207808e-7,1.6453356933173959e-6
UnionValue/3485/25181,1.9838914711882245e-3,1.9489016487712059e-3,2.0780592004930594e-3,1.6504359482623308e-4,9.959274120334454e-6,2.971021165281549e-4
UnionValue/5977/8831,8.097927242488526e-4,7.952110693096097e-4,8.210927135895643e-4,4.232470363044185e-5,3.3471088146549886e-5,5.120485901031665e-5
UnionValue/8122/28502,3.277150074199414e-3,3.161400820549781e-3,3.4710364101689572e-3,4.815918588700844e-4,2.7111475528068666e-4,7.404568142631245e-4
UnionValue/21919/48164,9.00810316436052e-3,8.632636843250815e-3,9.605852033825222e-3,1.3145790934873838e-3,9.384841853378597e-4,1.99361318963123e-3
UnionValue/39067/46472,1.0355290740753142e-2,9.870884876661528e-3,1.0980214255040335e-2,1.480926842843319e-3,1.1312622648033941e-3,1.9210107570577777e-3
UnionValue/12596/23891,3.348476956353411e-3,3.2331803120790323e-3,3.549350476381801e-3,4.75826279957379e-4,2.914129329361632e-4,7.07672597607856e-4
UnionValue/21733/27100,4.574171491728231e-3,4.402916924237694e-3,4.890246499583538e-3,7.00713925954978e-4,4.810027989091292e-4,1.0550055993237817e-3
UnionValue/6199/17239,1.744096282609745e-3,1.7150301702708597e-3,1.8155641251470468e-3,1.5219884996057993e-4,7.624365514002041e-5,2.8730780747978583e-4
UnionValue/17288/45111,6.837043459093839e-3,6.55316083927264e-3,7.222208750662002e-3,9.377420455628381e-4,6.92813006048327e-4,1.252555982667587e-3
UnionValue/20790/33536,5.624980208717751e-3,5.412634794871479e-3,5.966231198995371e-3,8.077993088169049e-4,5.659855737323083e-4,1.1519666203197673e-3
