# Plutus Core cost model benchmark results
# Started at 2025-12-10 18:59:21.020263339 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
UnionValue/8406/13319,2.2936533876260897e-3,2.2351996514381246e-3,2.3905860092938297e-3,2.5181079615942164e-4,1.6632331901442104e-4,3.865036559758717e-4
UnionValue/10519/25435,5.170882032360096e-3,5.01539074116794e-3,5.404889525722736e-3,5.800246098990299e-4,4.113141869105377e-4,8.529383502441932e-4
UnionValue/22338/34681,8.636234440135247e-3,8.404637792475899e-3,8.917832779867728e-3,6.86521299376112e-4,5.901066840903361e-4,8.862305248341248e-4
UnionValue/219/315,2.0526877461521228e-5,2.0455072021818857e-5,2.064857072899022e-5,3.052581052670784e-7,1.6345837776154278e-7,4.571008174933224e-7
UnionValue/15397/30501,6.805686272714613e-3,6.599417521997882e-3,7.052333184925792e-3,6.44136312171431e-4,5.02452651354402e-4,9.069206593114384e-4
UnionValue/1645/11854,1.4933905481787461e-3,1.4683790009752586e-3,1.5456034645171457e-3,1.1371679223142388e-4,6.743175361078003e-5,1.8406990776893907e-4
UnionValue/8851/29662,5.985803991841818e-3,5.830438251209212e-3,6.201645758005627e-3,5.566375761485541e-4,4.428229830512282e-4,7.516580364048494e-4
UnionValue/3504/23243,4.112642590793827e-3,3.9827182196989835e-3,4.311012669082556e-3,4.908579167417308e-4,3.45367207111609e-4,6.598385900333225e-4
UnionValue/15315/34704,8.177160201659898e-3,7.926125048854909e-3,8.524444849577486e-3,8.048160047285558e-4,5.893450974810265e-4,1.1755022492084888e-3
UnionValue/15409/44448,1.1685030955040417e-2,1.1379394197448241e-2,1.214180225609353e-2,9.901004388593098e-4,7.472352892641725e-4,1.5433175987811403e-3
UnionValue/10146/26649,5.400562597834731e-3,5.2489174436758795e-3,5.615650108161232e-3,5.571826203487751e-4,3.986238964646103e-4,7.898055393000374e-4
UnionValue/9296/13924,2.5010603972911065e-3,2.4305666094115216e-3,2.6085126700153057e-3,2.670452696786934e-4,1.9683027776491843e-4,4.1241539128611973e-4
UnionValue/233/1537,1.051222638036916e-4,1.0505636129946367e-4,1.0523415436261888e-4,2.6612536209623525e-7,1.6905204324085e-7,4.2114630193750397e-7
UnionValue/8884/29432,5.958336415063201e-3,5.802886082446157e-3,6.1915208180226425e-3,5.631811686711174e-4,4.118779006696661e-4,7.773586833096097e-4
UnionValue/22489/49721,1.4829948512569358e-2,1.4411608325838673e-2,1.5439579920368035e-2,1.2168768683570492e-3,8.394297788753757e-4,1.9626806493323254e-3
UnionValue/389/5787,4.997539011359673e-4,4.981208250647672e-4,5.057125848885895e-4,9.701952210861849e-6,1.4461199105784837e-6,2.0574604883675097e-5
UnionValue/2341/2611,2.571075153707885e-4,2.545608518883495e-4,2.6033553852239095e-4,9.657383155385955e-6,8.761805535539505e-6,1.1104724608394348e-5
UnionValue/25938/34488,8.549749875533813e-3,8.376487345186992e-3,8.753685463817247e-3,5.483080570921724e-4,4.6846222775563434e-4,6.731609297924097e-4
UnionValue/9360/10232,1.5571719597993194e-3,1.529020228122557e-3,1.6110424584294275e-3,1.2296805552975348e-4,7.66413232339947e-5,2.0239417566337328e-4
UnionValue/25850/34293,8.818543730334439e-3,8.559365100599039e-3,9.132237586080335e-3,7.840459417135374e-4,5.801534126198258e-4,1.2002341080342264e-3
UnionValue/20439/35137,8.824419695322598e-3,8.62089000345695e-3,9.126831801243584e-3,6.756458609141615e-4,4.591184621623844e-4,1.0691984581494799e-3
UnionValue/19654/43495,1.1741759449084047e-2,1.1439513458730715e-2,1.2034515077276943e-2,7.703985512630743e-4,6.365931015463269e-4,9.469408611506192e-4
UnionValue/21148/24208,5.323488159453491e-3,5.191309381176862e-3,5.506340288069547e-3,4.546798123975551e-4,3.430403280729875e-4,7.081487348853745e-4
UnionValue/8349/43728,1.0272007897726702e-2,9.999469824719144e-3,1.0532673789100399e-2,7.371445619072179e-4,5.643364810757949e-4,9.732597229824327e-4
UnionValue/8491/14251,2.546056005491836e-3,2.4947642224687327e-3,2.652642064711235e-3,2.2556626098562083e-4,1.5244872439402327e-4,3.8204483642283437e-4
