# Plutus Core cost model benchmark results
# Started at 2025-12-10 16:22:57.024015911 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
UnionValue/48117/48117,1.8883172393289922e-3,1.8857982185507278e-3,1.8930376555654203e-3,1.1271474394534363e-5,6.698188683793604e-6,2.190161614313397e-5
UnionValue/42681/42681,1.6661922188233392e-3,1.6641286501449626e-3,1.6707793423978783e-3,1.021819016255996e-5,4.423702582411894e-6,1.7357641129770184e-5
UnionValue/39705/39705,1.5337086341278262e-3,1.532634971794825e-3,1.5352250056341903e-3,4.208412081163212e-6,3.2151979419832835e-6,5.8821494477292194e-6
UnionValue/30807/30807,1.1873774809270706e-3,1.1858396416827837e-3,1.1909112227572326e-3,7.85628946587239e-6,3.741946163149262e-6,1.4190468522073056e-5
UnionValue/25018/25018,9.67568872446152e-4,9.617527561703893e-4,9.80223749155077e-4,2.717280075932545e-5,2.0201738868959585e-6,4.501498702327704e-5
UnionValue/48892/48892,1.9414978108485362e-3,1.937099082975671e-3,1.9513672066111382e-3,2.1867895093385207e-5,9.995648919814193e-6,4.081769193478098e-5
UnionValue/34797/34797,1.3496535485424228e-3,1.347267634747324e-3,1.354317643677042e-3,1.101961764823279e-5,5.60409059199091e-6,1.706742382280006e-5
UnionValue/20813/20813,7.974459058664332e-4,7.969812543981567e-4,7.980390679621158e-4,1.7414397102922586e-6,1.289282991853682e-6,2.645620183365567e-6
UnionValue/18369/18369,7.060369376297899e-4,7.041218881289567e-4,7.151631218497678e-4,1.1962068065230381e-5,1.054099106379064e-6,2.742267802789239e-5
UnionValue/45172/45172,1.7757210157717375e-3,1.7743091831447248e-3,1.7781484906152995e-3,6.121710536766734e-6,4.4294936806890076e-6,9.281816413307738e-6
UnionValue/27069/27069,1.0445480150385131e-3,1.0437564437111649e-3,1.0459237032288532e-3,3.6410014371543163e-6,2.5324219167015245e-6,5.958809813325735e-6
UnionValue/24246/24246,9.362098751120457e-4,9.337465794992015e-4,9.412466666056614e-4,1.1091981406295797e-5,6.110565259752646e-6,1.765984704990132e-5
UnionValue/27910/27910,1.077629635828562e-3,1.076447814143342e-3,1.079709358211667e-3,5.168993010236291e-6,2.9199037920382334e-6,8.566882203848677e-6
UnionValue/24431/24431,9.425802115020464e-4,9.420389226361433e-4,9.432285832360243e-4,2.0215769507231826e-6,1.6331539428656565e-6,2.6180797696368266e-6
UnionValue/30364/30364,1.1736868207144731e-3,1.1728639846738268e-3,1.17537103399896e-3,4.001946499682972e-6,2.2439094376246754e-6,7.423753103017375e-6
UnionValue/43530/43530,1.7053874714901115e-3,1.7041122725465602e-3,1.707410709585261e-3,5.122402939575341e-6,3.4100275443915676e-6,8.880824129194361e-6
UnionValue/35535/35535,1.3924200490873528e-3,1.3795686129290463e-3,1.422626766724969e-3,5.900300205362353e-5,5.498754075137701e-6,1.0448282018951927e-4
UnionValue/4544/4544,1.7372352971486616e-4,1.7357283090710022e-4,1.7398867426145464e-4,6.872879508015582e-7,3.236616430444202e-7,1.0809291202530058e-6
UnionValue/3402/3402,1.298895277822209e-4,1.298126475211667e-4,1.3000073075157775e-4,3.011628396266791e-7,2.0859724385093568e-7,4.4653908043752663e-7
UnionValue/27968/27968,1.0782419959799452e-3,1.0774624246377847e-3,1.0794964311501441e-3,3.288245680398373e-6,2.2987915093288287e-6,5.2226441537171796e-6
UnionValue/17964/17964,6.919506693214234e-4,6.89832907862526e-4,6.958993092190967e-4,9.90372518830064e-6,2.119622652951425e-6,1.6046344586851744e-5
UnionValue/40025/40025,1.5541689368688105e-3,1.5528597094404848e-3,1.5564744685936612e-3,5.757670056441861e-6,3.4859072953371367e-6,1.0239059722825502e-5
UnionValue/24825/24825,9.550377518063042e-4,9.537708234651942e-4,9.582861175242245e-4,6.595899811641119e-6,3.6097250276857487e-6,1.1997406660849077e-5
UnionValue/38227/38227,1.4867047712592944e-3,1.4838948320970533e-3,1.4932859009037062e-3,1.3773601713033284e-5,7.080652863882206e-6,2.4804871664560045e-5
UnionValue/38211/38211,1.4958451172784148e-3,1.4939298432164218e-3,1.5025131002351123e-3,1.0453784331667956e-5,4.5543648187652655e-6,2.036935137873934e-5
